"symbiont","host"
"S8","H3"
"S9","H3"
"S10","H2"
"S10","H4"
"S13","H7"
"S13","H8"
"S15","H2"
"S15","H7"
"S15","H8"
"S16","H3"
"S17","H3"
"S17","H4"
"S18","H2"
"S18","H3"
"S18","H7"
"S18","H8"
"S18","H9"
"S20","H2"
"S20","H3"
"S21","H2"
"S21","H3"
"S22","H2"
"S22","H3"
"S24","H3"
"S24","H7"
"S24","H8"
"S24","H9"
"S25","H7"
"S25","H8"
"S25","H9"
"S26","H2"
"S26","H3"
"S26","H4"
"S27","H2"
"S27","H3"
"S27","H4"
"S28","H3"
"S28","H4"
"S29","H2"
"S29","H3"
"S29","H4"
"S30","H3"
"S30","H7"
"S30","H8"
"S30","H9"
"S31","H3"
"S31","H7"
"S31","H8"
"S31","H9"
"S32","H7"
"S32","H8"
"S32","H9"
"S33","H7"
"S33","H8"
"S33","H9"
"S34","H2"
"S34","H7"
"S34","H8"
"S34","H9"
"S35","H2"
"S36","H2"
"S36","H3"
"S37","H2"
"S37","H3"
