"symbiont","host"
"S11","H14"
"S11","H15"
"S15","H11"
"S20","H8"
"S21","H14"
"S23","H8"
"S23","H15"
"S26","H6"
"S26","H7"
"S26","H11"
"S26","H14"
"S29","H6"
"S30","H6"
"S30","H11"
"S30","H14"
"S30","H15"
"S44","H12"
"S45","H12"
"S46","H11"
"S46","H14"
"S46","H15"
"S47","H6"
"S50","H8"
"S51","H6"
"S51","H7"
"S51","H11"
"S51","H12"
"S51","H13"
"S51","H15"
"S52","H6"
"S52","H7"
"S52","H11"
"S52","H13"
"S52","H14"
"S52","H15"
"S53","H6"
"S54","H6"
"S54","H8"
"S54","H11"
"S54","H14"
"S55","H6"
"S55","H8"
"S55","H11"
"S55","H14"
"S55","H15"
"S56","H8"
"S57","H6"
"S57","H8"
"S58","H6"
"S58","H8"
"S58","H11"
"S58","H14"
"S59","H6"
"S60","H11"
"S60","H14"
"S61","H11"
"S61","H15"
"S62","H11"
"S64","H6"
"S65","H11"
"S66","H11"
"S67","H6"
"S67","H8"
"S67","H11"
"S67","H14"
"S68","H6"
