"symbiont","host"
"S2","H1"
"S2","H5"
"S2","H6"
"S7","H1"
"S7","H3"
"S7","H10"
"S8","H1"
"S8","H2"
"S8","H3"
"S9","H1"
"S10","H1"
"S12","H1"
"S12","H5"
"S12","H10"
"S13","H2"
"S13","H3"
"S13","H7"
"S13","H8"
"S13","H9"
"S14","H1"
"S16","H1"
"S16","H2"
"S16","H3"
"S16","H7"
"S16","H8"
"S16","H10"
"S17","H1"
"S17","H2"
"S17","H3"
"S17","H7"
"S17","H10"
"S18","H1"
"S19","H1"
"S19","H10"
"S20","H1"
"S20","H10"
"S21","H1"
"S21","H2"
"S21","H9"
"S22","H1"
"S23","H2"
"S24","H9"
"S25","H1"
"S25","H10"
"S26","H1"
"S27","H1"
"S28","H1"
"S28","H2"
"S28","H8"
"S28","H10"
"S29","H1"
"S29","H2"
"S29","H8"
"S29","H10"
"S30","H1"
"S30","H9"
"S31","H1"
"S31","H2"
"S31","H9"
