"symbiont","host"
"S2","H1"
"S2","H2"
"S2","H3"
"S2","H4"
"S2","H5"
"S2","H6"
"S2","H8"
"S2","H11"
"S6","H4"
"S6","H7"
"S7","H11"
"S7","H12"
"S8","H4"
"S8","H7"
"S9","H1"
"S9","H5"
"S9","H6"
"S9","H8"
"S9","H10"
"S10","H1"
"S10","H5"
"S10","H6"
"S10","H9"
"S10","H10"
"S10","H11"
"S10","H12"
"S11","H1"
"S11","H5"
"S11","H6"
"S11","H8"
"S11","H10"
"S12","H1"
"S12","H5"
"S12","H6"
"S12","H8"
"S12","H9"
"S12","H10"
"S14","H11"
"S14","H12"
"S15","H6"
"S16","H2"
"S16","H6"
"S17","H1"
"S17","H4"
"S17","H5"
"S17","H6"
"S17","H9"
"S17","H11"
"S18","H1"
"S18","H4"
"S18","H5"
"S18","H6"
"S18","H9"
"S18","H11"
"S19","H8"
"S19","H12"
"S20","H2"
"S21","H4"
"S21","H7"
"S22","H2"
"S22","H4"
"S22","H7"
"S23","H9"
"S23","H10"
"S24","H2"
