"symbiont","host"
"S1","H5"
"S1","H7"
"S3","H7"
"S6","H4"
"S6","H5"
"S6","H7"
"S6","H8"
"S6","H9"
"S7","H4"
"S7","H6"
"S7","H8"
"S8","H6"
"S10","H4"
"S10","H5"
"S10","H6"
"S10","H8"
"S10","H9"
"S11","H5"
"S11","H6"
"S12","H4"
"S12","H5"
"S12","H6"
"S12","H8"
"S13","H6"
"S14","H7"
"S16","H6"
"S17","H4"
"S17","H6"
"S18","H4"
"S18","H6"
"S19","H6"
"S21","H6"
"S22","H4"
"S22","H7"
"S23","H4"
"S23","H7"
"S26","H7"
"S27","H4"
"S27","H7"
"S28","H4"
"S29","H7"
"S30","H5"
"S31","H4"
"S31","H7"
"S32","H4"
"S32","H7"
"S33","H6"
"S34","H5"
"S34","H6"
