parasite_leaf:,host_leaf
P88,H40
P89,H41
P170,H72
P171,H73
P127,H58
P41,H21
P144,H62
P145,H63
P146,H62
P147,H63
P107,H51
P150,H64
P151,H65
P135,H30
P135,H61
P152,H64
P153,H65
P137,H61
P154,H64
P155,H65
P139,H61
P142,H62
P143,H63
P109,H51
P55,H26
P177,H17
P177,H33
P176,H33
P73,H33
P178,H54
P179,H54
P117,H55
P90,H40
P91,H41
P172,H59
P172,H72
P173,H73
P129,H58
P174,H72
P175,H73
P131,H58
P43,H21
P56,H18
P56,H27
P57,H26
P29,H2
P29,H17
P86,H40
P87,H41
P168,H72
P169,H73
P125,H58
P39,H21
P166,H62
P167,H62
P141,H63
P105,H51
P148,H60
P148,H64
P149,H65
P133,H61
P53,H26
P164,H55
P165,H55
P114,H54
P69,H33
P4,H1
P4,H2
P188,H78
P189,H79
P157,H67
P123,H56
P49,H24
P112,H52
P113,H53
P15,H11
P45,H7
P45,H22
P180,H74
P181,H75
P93,H42
P182,H74
P183,H75
P95,H42
P190,H75
P191,H75
P184,H74
P97,H42
P47,H22
P18,H8
P18,H12
P196,H82
P197,H83
P100,H46
P101,H47
P118,H49
P119,H49
P194,H77
P195,H77
P186,H76
P161,H68
P85,H38
P192,H80
P193,H81
P163,H70
P83,H37
P158,H28
P159,H28
