parasite_leaf:,host_leaf
P84,H54
P85,H55
P140,H84
P141,H85
P115,H75
P74,H46
P75,H47
P15,H4
P15,H12
P170,H77
P171,H77
P116,H76
P103,H65
P99,H60
P128,H48
P129,H48
P130,H49
P131,H49
P65,H43
P156,H80
P157,H80
P133,H81
P144,H86
P145,H87
P34,H15
P34,H17
P68,H44
P69,H45
P134,H72
P135,H72
P113,H73
P39,H29
P45,H27
P45,H31
P44,H31
P172,H37
P173,H37
P79,H37
P58,H36
P51,H15
P51,H16
P50,H16
P71,H14
P71,H45
P70,H14
P70,H44
P72,H44
P73,H45
P42,H23
P42,H24
P118,H24
P119,H24
P111,H24
P31,H25
P125,H59
P125,H79
P152,H88
P153,H89
P95,H58
P89,H57
P154,H88
P155,H89
P127,H79
P169,H16
P168,H58
P143,H58
P146,H57
P147,H57
P55,H22
P55,H35
P150,H88
P151,H89
P123,H79
P93,H58
P87,H34
P87,H57
P158,H90
P159,H91
P101,H62
P32,H10
P32,H21
P160,H92
P161,H93
P162,H92
P163,H93
P164,H92
P165,H93
P137,H68
P137,H83
P136,H82
P138,H82
P139,H83
P107,H69
P83,H53
P166,H50
P167,H50
P63,H41
P108,H70
P109,H71
