parasite_leaf:,host_leaf
P236,H66
P236,H71
P237,H71
P280,H70
P281,H70
P211,H67
P242,H76
P243,H77
P21,H10
P46,H5
P46,H18
P149,H5
P149,H19
P148,H19
P209,H21
P209,H55
P208,H55
P224,H72
P225,H73
P170,H21
P170,H54
P171,H55
P192,H32
P193,H32
P143,H27
P143,H32
P116,H32
P160,H42
P160,H52
P161,H42
P161,H53
P119,H33
P119,H43
P71,H23
P71,H26
P63,H20
P63,H22
P83,H28
P83,H31
P212,H68
P213,H69
P284,H48
P285,H48
P218,H30
P218,H45
P274,H84
P275,H85
P265,H80
P257,H78
P175,H37
P175,H57
P174,H56
P176,H56
P177,H57
P189,H36
P189,H63
P188,H62
P240,H36
P240,H62
P241,H62
P191,H63
P66,H15
P66,H24
P67,H25
P132,H13
P132,H46
P133,H47
P246,H8
P247,H8
P204,H6
P204,H8
P107,H34
P107,H39
P106,H38
P97,H35
P23,H4
P23,H10
P22,H4
P22,H11
P282,H65
P283,H65
P279,H65
P200,H64
P159,H50
P115,H40
P49,H19
P138,H13
P138,H46
P139,H47
P234,H46
P235,H46
P141,H47
P146,H13
P146,H46
P250,H13
P250,H46
P251,H46
P198,H47
P199,H47
P162,H52
P163,H53
P121,H43
P95,H32
P130,H23
P130,H26
P276,H74
P277,H48
P231,H75
P183,H59
P65,H22
P53,H17
P53,H21
P164,H48
P165,H48
P214,H68
P215,H69
P270,H84
P271,H85
P261,H79
P261,H80
P253,H78
P233,H28
P233,H31
P258,H31
P259,H31
P79,H16
P79,H29
P238,H25
P239,H25
P203,H25
P89,H15
P89,H25
P90,H15
P90,H24
P266,H82
P267,H83
P39,H12
P39,H15
P54,H17
P54,H20
P227,H54
P227,H73
P269,H54
P269,H72
P268,H72
P228,H54
P228,H72
P229,H73
P167,H21
P167,H55
P112,H28
P112,H31
P113,H31
P157,H44
P157,H48
P216,H68
P217,H69
P272,H84
P273,H85
P263,H80
P255,H45
P255,H78
P178,H56
P179,H57
P244,H57
P245,H57
P180,H56
P220,H63
P221,H63
P194,H63
P186,H62
P135,H13
P135,H47
P134,H46
P75,H6
P75,H8
P248,H48
P249,H48
P206,H8
P144,H38
P145,H38
P109,H34
P109,H39
P99,H7
P99,H35
P110,H38
P111,H39
P286,H35
P287,H35
