"symbiont","host"
"S21","H19"
"S21","H29"
"S27","H19"
"S33","H52"
"S34","H6"
"S34","H24"
"S38","H26"
"S40","H39"
"S47","H55"
"S48","H33"
"S50","H120"
"S51","H51"
"S52","H39"
"S54","H40"
"S55","H40"
"S55","H50"
"S55","H66"
"S57","H62"
"S57","H63"
"S58","H49"
"S61","H50"
"S61","H66"
"S64","H54"
"S65","H88"
"S71","H61"
"S73","H5"
"S74","H64"
"S75","H17"
"S75","H79"
"S76","H65"
"S77","H66"
"S78","H58"
"S78","H69"
"S79","H72"
"S80","H73"
"S82","H75"
"S83","H76"
"S84","H55"
"S86","H92"
"S86","H93"
"S87","H98"
"S91","H44"
"S91","H83"
"S92","H46"
"S93","H5"
"S93","H46"
"S95","H86"
"S96","H88"
"S97","H87"
"S98","H5"
"S99","H89"
"S100","H55"
"S101","H5"
"S101","H55"
"S102","H47"
"S103","H47"
"S104","H90"
"S105","H91"
"S106","H94"
"S109","H113"
"S110","H98"
"S111","H99"
"S112","H84"
"S113","H41"
"S114","H41"
"S115","H113"
"S116","H113"
"S117","H102"
"S118","H103"
"S119","H97"
"S119","H104"
"S120","H105"
"S121","H106"
"S122","H107"
"S123","H108"
"S124","H109"
"S125","H69"
"S126","H69"
"S127","H112"
"S128","H113"
"S129","H120"
"S130","H121"
"S131","H5"
"S131","H84"
"S132","H5"
"S132","H84"
