"symbiont","host"
"S3","H44"
"S7","H4"
"S13","H15"
"S17","H10"
"S20","H54"
"S20","H55"
"S22","H14"
"S26","H17"
"S27","H21"
"S28","H12"
"S34","H24"
"S35","H44"
"S37","H6"
"S38","H6"
"S38","H34"
"S39","H28"
"S40","H29"
"S41","H30"
"S42","H31"
"S44","H33"
"S45","H4"
"S45","H32"
"S46","H35"
"S47","H57"
"S49","H37"
"S50","H38"
"S51","H39"
"S53","H40"
"S53","H44"
"S54","H41"
"S57","H44"
"S58","H43"
"S59","H44"
"S60","H12"
"S61","H12"
"S62","H32"
"S63","H32"
"S64","H45"
"S65","H46"
"S66","H47"
"S67","H48"
"S68","H49"
"S69","H6"
"S70","H6"
"S72","H42"
"S72","H53"
"S73","H58"
"S74","H59"
