"symbiont","host"
"S9","H36"
"S11","H36"
"S15","H18"
"S19","H37"
"S24","H16"
"S25","H37"
"S26","H36"
"S28","H20"
"S32","H22"
"S32","H25"
"S33","H26"
"S34","H37"
"S36","H30"
"S37","H31"
"S40","H31"
"S45","H48"
"S46","H47"
"S48","H36"
"S49","H37"
"S50","H42"
"S51","H45"
"S52","H41"
"S53","H33"
"S54","H33"
"S55","H43"
"S55","H55"
"S56","H16"
"S56","H43"
"S56","H55"
"S57","H39"
"S57","H46"
"S58","H47"
"S59","H48"
"S60","H43"
"S61","H49"
"S62","H38"
"S62","H50"
"S63","H51"
"S64","H52"
"S65","H55"
"S66","H43"
"S66","H56"
