"symbiont","host"
"S13","H47"
"S13","H77"
"S21","H76"
"S31","H30"
"S32","H151"
"S36","H83"
"S39","H7"
"S39","H102"
"S39","H108"
"S39","H151"
"S40","H40"
"S42","H43"
"S45","H7"
"S45","H88"
"S45","H130"
"S49","H92"
"S49","H93"
"S50","H62"
"S51","H123"
"S52","H97"
"S53","H34"
"S54","H34"
"S55","H34"
"S56","H103"
"S56","H104"
"S61","H34"
"S64","H21"
"S64","H87"
"S64","H89"
"S64","H94"
"S64","H95"
"S64","H98"
"S64","H136"
"S64","H137"
"S65","H47"
"S65","H76"
"S67","H51"
"S68","H29"
"S71","H143"
"S72","H142"
"S72","H143"
"S73","H59"
"S73","H93"
"S74","H57"
"S77","H102"
"S78","H47"
"S78","H76"
"S80","H102"
"S81","H150"
"S81","H151"
"S82","H47"
"S82","H77"
"S83","H21"
"S83","H87"
"S83","H89"
"S83","H95"
"S83","H98"
"S83","H126"
"S84","H63"
"S85","H34"
"S87","H59"
"S88","H59"
"S89","H32"
"S89","H39"
"S90","H62"
"S90","H88"
"S90","H131"
"S91","H62"
"S91","H88"
"S91","H130"
"S91","H131"
"S92","H76"
"S93","H47"
"S93","H77"
"S94","H29"
"S97","H83"
"S99","H63"
"S100","H58"
"S102","H9"
"S103","H80"
"S103","H96"
"S104","H80"
"S104","H97"
"S105","H85"
"S106","H86"
"S112","H124"
"S112","H125"
"S113","H119"
"S113","H120"
"S114","H102"
"S114","H150"
"S114","H151"
"S115","H102"
"S115","H150"
"S115","H151"
"S116","H96"
"S117","H97"
"S118","H58"
"S119","H58"
"S120","H29"
"S121","H29"
"S122","H34"
"S123","H102"
"S123","H107"
"S123","H150"
"S123","H151"
"S124","H108"
"S125","H21"
"S125","H87"
"S125","H89"
"S125","H98"
"S125","H126"
"S126","H21"
"S126","H87"
"S126","H89"
"S126","H98"
"S126","H126"
"S127","H109"
"S128","H110"
"S129","H108"
"S129","H111"
"S131","H9"
"S132","H146"
"S133","H9"
"S134","H121"
"S135","H82"
"S135","H128"
"S135","H129"
"S136","H122"
"S137","H62"
"S137","H123"
"S138","H21"
"S138","H136"
"S139","H87"
"S139","H89"
"S139","H95"
"S139","H98"
"S139","H126"
"S140","H74"
"S141","H9"
"S142","H102"
"S143","H102"
"S144","H34"
"S145","H34"
"S146","H138"
"S147","H139"
"S148","H87"
"S148","H140"
"S149","H21"
"S149","H127"
"S149","H141"
"S150","H32"
"S150","H39"
"S151","H32"
"S151","H39"
"S152","H21"
"S152","H51"
"S152","H87"
"S152","H127"
"S153","H21"
"S153","H51"
"S153","H87"
"S153","H127"
"S154","H144"
"S155","H112"
"S155","H145"
"S156","H88"
"S156","H130"
"S157","H88"
"S157","H130"
"S158","H56"
"S159","H56"
