"symbiont","host"
"S73","H71"
"S78","H303"
"S81","H309"
"S81","H318"
"S87","H180"
"S96","H282"
"S102","H150"
"S104","H82"
"S104","H100"
"S105","H101"
"S107","H98"
"S107","H103"
"S111","H206"
"S112","H92"
"S114","H309"
"S114","H318"
"S116","H172"
"S117","H106"
"S126","H128"
"S128","H211"
"S131","H230"
"S132","H278"
"S132","H288"
"S134","H223"
"S134","H224"
"S134","H294"
"S137","H274"
"S137","H275"
"S138","H82"
"S139","H82"
"S140","H223"
"S140","H224"
"S140","H294"
"S145","H224"
"S145","H295"
"S146","H106"
"S150","H190"
"S152","H155"
"S157","H97"
"S164","H211"
"S165","H211"
"S166","H308"
"S166","H309"
"S166","H319"
"S167","H308"
"S167","H309"
"S167","H318"
"S167","H319"
"S168","H176"
"S171","H188"
"S172","H179"
"S172","H302"
"S173","H180"
"S174","H183"
"S175","H116"
"S175","H186"
"S176","H187"
"S179","H194"
"S180","H144"
"S180","H195"
"S181","H197"
"S181","H198"
"S184","H144"
"S185","H204"
"S186","H206"
"S191","H97"
"S191","H216"
"S192","H217"
"S194","H220"
"S195","H184"
"S196","H221"
"S197","H154"
"S198","H214"
"S199","H214"
"S200","H99"
"S201","H99"
"S203","H207"
"S203","H240"
"S203","H241"
"S204","H254"
"S205","H275"
"S209","H230"
"S210","H231"
"S211","H263"
"S211","H264"
"S212","H264"
"S213","H155"
"S213","H217"
"S214","H27"
"S214","H155"
"S214","H217"
"S215","H302"
"S215","H303"
"S216","H234"
"S217","H184"
"S220","H66"
"S220","H242"
"S221","H243"
"S222","H244"
"S223","H246"
"S224","H211"
"S225","H295"
"S226","H249"
"S227","H250"
"S228","H144"
"S229","H144"
"S232","H254"
"S233","H255"
"S234","H256"
"S235","H257"
"S236","H259"
"S237","H237"
"S237","H260"
"S238","H233"
"S239","H233"
"S242","H267"
"S243","H205"
"S244","H205"
"S245","H27"
"S245","H66"
"S245","H242"
"S246","H27"
"S246","H66"
"S246","H242"
"S248","H199"
"S249","H211"
"S250","H211"
"S251","H280"
"S254","H27"
"S255","H151"
"S256","H27"
"S257","H282"
"S258","H283"
"S258","H285"
"S259","H284"
"S260","H209"
"S262","H295"
"S263","H285"
"S264","H284"
"S264","H291"
"S266","H248"
"S267","H27"
"S267","H248"
"S268","H208"
"S269","H208"
"S270","H258"
"S271","H258"
"S272","H294"
"S273","H295"
"S274","H173"
"S274","H174"
"S274","H296"
"S274","H301"
"S275","H297"
"S276","H298"
"S277","H299"
"S278","H251"
"S279","H27"
"S279","H251"
"S280","H304"
"S282","H203"
"S283","H245"
"S284","H245"
"S285","H311"
"S286","H311"
"S287","H306"
"S288","H307"
"S289","H184"
"S290","H184"
"S291","H314"
"S292","H126"
"S292","H315"
"S293","H147"
"S294","H147"
"S295","H172"
"S296","H172"
"S297","H293"
"S298","H293"
"S299","H176"
"S300","H176"
"S301","H218"
"S301","H316"
"S302","H317"
"S303","H203"
"S304","H27"
"S305","H100"
"S305","H217"
"S305","H237"
"S306","H100"
"S306","H217"
"S306","H237"
