"symbiont","host"
"S13","H6"
"S19","H18"
"S19","H25"
"S19","H44"
"S19","H45"
"S20","H22"
"S23","H32"
"S28","H60"
"S30","H59"
"S31","H27"
"S32","H27"
"S34","H37"
"S35","H38"
"S36","H36"
"S36","H41"
"S39","H14"
"S40","H14"
"S42","H70"
"S43","H18"
"S43","H48"
"S43","H58"
"S44","H65"
"S45","H47"
"S48","H49"
"S50","H28"
"S50","H48"
"S51","H58"
"S52","H51"
"S53","H52"
"S54","H53"
"S56","H36"
"S56","H55"
"S58","H67"
"S58","H68"
"S59","H59"
"S60","H60"
"S61","H61"
"S62","H62"
"S63","H57"
"S64","H57"
"S65","H63"
"S66","H64"
"S67","H65"
"S68","H66"
