"symbiont","host"
"S2","H24"
"S2","H43"
"S2","H44"
"S4","H15"
"S4","H49"
"S6","H67"
"S6","H71"
"S8","H63"
"S8","H64"
"S10","H10"
"S10","H54"
"S10","H55"
"S10","H56"
"S11","H30"
"S13","H24"
"S13","H44"
"S14","H19"
"S15","H50"
"S15","H51"
"S16","H51"
"S18","H27"
"S18","H28"
"S19","H48"
"S19","H66"
"S21","H6"
"S21","H29"
"S23","H15"
"S23","H25"
"S24","H15"
"S24","H25"
"S25","H15"
"S25","H25"
"S26","H13"
"S27","H13"
"S27","H50"
"S27","H51"
"S28","H10"
"S28","H54"
"S28","H55"
"S30","H6"
"S30","H29"
"S31","H10"
"S31","H54"
"S31","H55"
"S32","H38"
"S33","H25"
"S33","H43"
"S33","H54"
"S34","H30"
"S36","H9"
"S36","H57"
"S36","H58"
"S37","H69"
"S39","H40"
"S40","H40"
"S43","H10"
"S43","H55"
"S44","H8"
"S44","H10"
"S44","H26"
"S44","H52"
"S45","H64"
"S46","H76"
"S47","H37"
"S48","H30"
"S49","H30"
"S50","H39"
"S51","H40"
"S53","H21"
"S53","H32"
"S53","H45"
"S54","H51"
"S54","H73"
"S55","H78"
"S55","H79"
"S56","H49"
"S57","H64"
"S58","H63"
"S59","H30"
"S60","H30"
"S61","H8"
"S61","H10"
"S61","H26"
"S61","H52"
"S62","H53"
"S63","H11"
"S64","H63"
"S64","H64"
"S65","H64"
"S66","H25"
"S66","H43"
"S66","H44"
"S66","H54"
"S66","H55"
"S67","H25"
"S67","H43"
"S67","H44"
"S67","H54"
"S67","H55"
"S68","H48"
"S68","H65"
"S69","H66"
"S70","H11"
"S71","H11"
"S72","H67"
"S72","H72"
"S73","H22"
"S73","H68"
"S74","H11"
"S76","H69"
"S77","H70"
"S78","H15"
"S78","H25"
"S79","H15"
"S79","H25"
"S80","H71"
"S81","H20"
"S81","H23"
"S81","H72"
"S82","H8"
"S82","H10"
"S82","H26"
"S82","H52"
"S83","H8"
"S83","H10"
"S83","H26"
"S83","H52"
