id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker
3_20_tips,2.0,0.058823529411764705,0.40418362999999996,0.2431554677729076,20,
1_20_tips,8.0,0.23529411764705882,0.35482198,0.20102697421541815,20,
4_20_tips,24.0,0.7058823529411765,0.052863970200000006,0.01980108370063344,20,
4_30_tips,14.0,0.25925925925925924,0.33482742270000015,0.1033618627586294,30,
1_30_tips,8.0,0.14814814814814814,0.462754407,0.11130635139113693,30,
4_50_tips,10.0,0.10638297872340426,2.0901237200000007,0.4935785860258251,50,
0_30_tips,2.0,0.037037037037037035,1.2928305700000002,0.47070174664983694,30,
0_40_tips,4.0,0.05405405405405406,0.8709244309999999,0.20804245090639714,40,
2_40_tips,18.0,0.24324324324324326,1.3537862619999992,0.43402982221749364,40,
3_40_tips,12.0,0.16216216216216217,0.76642929,0.16614421907040913,40,
3_50_tips,16.0,0.1702127659574468,0.3729826339999999,0.07485561978362873,50,
2_30_tips,6.0,0.1111111111111111,3.3344911899999996,0.9550705648348032,30,
2_50_tips,12.0,0.1276595744680851,0.5466539268000001,0.11708887313444157,50,
0_20_tips,2.0,0.058823529411764705,0.3559407480000001,0.13508941970639549,20,
3_30_tips,4.0,0.07407407407407407,1.511183238,0.8492464010174852,30,
1_50_tips,2.0,0.02127659574468085,3.404687939999999,0.7750068841656442,50,
1_40_tips,58.0,0.7837837837837838,0.0801122063,0.01630544646442768,40,
2_20_tips,2.0,0.058823529411764705,0.71023691,0.2771713927454998,20,
4_40_tips,16.0,0.21621621621621623,0.70710322137,0.18525243017652085,40,
0_50_tips,4.0,0.0425531914893617,1.6914025899999998,0.822790071352584,50,
