parasite_leaf:,host_leaf
P37,H8
P37,H18
P110,H19
P110,H42
P111,H19
P111,H43
P113,H19
P113,H43
P182,H70
P183,H71
P39,H8
P39,H18
P184,H70
P185,H71
P187,H42
P187,H71
P186,H70
P107,H19
P107,H43
P124,H4
P124,H9
P125,H9
P218,H78
P219,H79
P199,H72
P117,H46
P85,H36
P222,H73
P222,H78
P223,H79
P203,H72
P242,H84
P243,H85
P220,H78
P221,H79
P201,H72
P248,H46
P249,H46
P206,H36
P207,H36
P196,H55
P197,H55
P142,H54
P236,H82
P237,H83
P238,H82
P239,H83
P234,H82
P235,H83
P188,H63
P189,H63
P154,H62
P214,H21
P214,H27
P215,H27
P179,H27
P54,H26
P226,H80
P227,H81
P99,H41
P121,H16
P121,H41
P120,H41
P228,H80
P229,H81
P232,H80
P233,H81
P205,H41
P246,H80
P247,H80
P231,H81
P131,H39
P97,H16
P97,H41
P102,H16
P102,H40
P103,H16
P103,H40
P176,H41
P177,H41
P80,H33
P80,H34
P81,H35
P77,H17
P77,H32
P212,H76
P213,H77
P153,H61
P181,H42
P181,H71
P180,H70
P109,H43
P140,H52
P141,H53
P135,H50
P57,H15
P57,H28
P166,H66
P167,H67
P169,H29
P169,H67
P168,H66
P164,H66
P165,H67
P63,H28
P83,H10
P83,H14
P105,H10
P105,H14
P172,H68
P173,H69
P138,H10
P138,H14
P174,H68
P175,H69
P35,H4
P35,H9
P34,H4
P34,H9
P250,H86
P251,H87
P252,H86
P253,H87
P147,H58
P79,H35
P190,H64
P191,H64
P208,H74
P209,H75
P240,H84
P241,H85
P192,H41
P193,H41
P158,H41
P224,H80
P225,H81
P244,H76
P245,H76
P211,H77
P151,H61
P25,H10
P25,H14
P59,H15
P59,H28
P162,H66
P163,H67
P60,H15
P60,H29
P61,H15
P61,H28
P194,H48
P195,H48
P133,H49
P115,H45
P91,H39
