parasite_leaf:,host_leaf
P68,H28
P69,H29
P11,H9
P70,H24
P71,H24
P57,H25
P76,H14
P77,H14
P41,H4
P41,H9
P40,H9
P102,H32
P103,H33
P73,H19
P48,H13
P48,H22
P49,H23
P59,H12
P59,H27
P88,H12
P88,H26
P89,H23
P27,H11
P27,H17
P98,H31
P99,H31
P80,H30
P43,H20
P78,H19
P79,H19
P94,H23
P95,H23
P52,H22
P92,H13
P92,H23
P104,H32
P105,H33
P67,H23
P96,H22
P97,H22
P50,H13
P50,H22
P51,H23
P62,H27
P63,H27
P60,H26
P64,H20
P65,H20
P85,H21
P85,H31
P84,H30
P87,H21
P87,H31
P86,H21
P86,H30
P37,H19
P82,H30
P83,H31
P47,H20
P39,H19
P90,H11
P90,H17
P100,H17
P101,H17
