parasite_leaf:,host_leaf
P28,H13
P28,H26
P29,H27
P33,H13
P33,H26
P66,H26
P67,H26
P46,H26
P31,H13
P31,H27
P74,H58
P75,H59
P59,H47
P35,H28
P68,H52
P69,H53
P94,H49
P95,H49
P72,H56
P73,H57
P92,H74
P93,H75
P87,H71
P45,H37
P25,H22
P21,H18
P76,H60
P77,H61
P63,H51
P90,H72
P91,H73
P85,H69
P64,H20
P64,H31
P65,H31
P88,H21
P89,H21
P55,H38
P55,H40
P54,H40
P98,H78
P99,H79
P81,H64
P79,H63
P82,H66
P83,H67
P71,H54
P53,H43
P56,H44
P57,H45
P43,H34
P41,H8
P41,H24
P40,H24
P96,H76
P97,H77
