parasite_leaf:,host_leaf
P52,H6
P52,H17
P614,H16
P615,H51
P391,H32
P109,H17
P109,H25
P482,H49
P483,H42
P604,H48
P605,H35
P641,H37
P640,H28
P644,H46
P645,H42
P501,H46
P477,H30
P55,H16
P19,H5
P19,H7
P381,H38
P380,H15
P344,H6
P344,H16
P258,H16
P159,H11
P159,H15
P341,H21
P341,H40
P340,H43
P336,H33
P336,H42
P322,H7
P457,H16
P456,H7
P573,H41
P573,H53
P572,H52
P480,H39
P274,H26
P274,H38
P576,H52
P577,H53
P513,H32
P564,H52
P565,H53
P318,H35
P198,H34
P146,H13
P146,H30
P147,H31
P266,H38
P267,H39
P509,H34
P508,H45
P528,H50
P529,H51
P227,H22
P227,H37
P226,H36
P307,H21
P307,H40
P648,H52
P649,H52
P555,H53
P472,H16
P473,H15
P431,H37
P141,H16
P301,H22
P301,H37
P466,H47
P466,H48
P467,H49
P636,H46
P637,H45
P395,H38
P580,H49
P581,H51
P551,H48
P464,H48
P634,H49
P635,H52
P620,H46
P107,H25
P7,H7
P119,H23
P119,H27
P628,H38
P629,H38
P263,H39
P240,H36
P241,H37
P261,H34
P260,H37
P544,H36
P545,H36
P234,H36
P235,H37
P495,H7
P494,H37
P420,H27
P420,H45
P531,H44
P531,H51
P530,H50
P177,H14
P177,H21
P312,H21
P312,H41
P633,H36
P632,H19
P606,H40
P547,H40
P45,H15
P366,H25
P367,H25
P304,H10
P304,H32
P221,H34
P178,H10
P178,H33
P66,H8
P66,H18
P67,H5
P67,H7
P283,H38
P282,H19
P407,H37
P406,H32
P592,H15
P593,H32
P438,H39
P372,H17
P372,H25
P594,H34
P595,H15
P203,H35
P643,H30
P642,H45
P519,H45
P532,H44
P532,H50
P533,H51
P609,H16
P608,H31
P382,H30
P171,H30
P237,H22
P237,H37
P236,H36
P143,H31
P114,H17
P114,H25
P115,H25
P527,H38
P526,H36
P578,H36
P579,H36
P462,H48
P463,H49
P449,H46
P213,H30
P197,H17
P197,H24
P201,H12
P201,H35
P200,H34
P440,H37
P441,H29
P295,H37
P246,H36
P426,H37
P427,H40
P339,H25
P248,H36
P552,H46
P553,H32
P486,H31
P403,H45
P155,H7
P144,H13
P144,H30
P265,H26
P265,H39
P264,H38
P374,H27
P374,H44
P375,H40
P377,H27
P377,H45
P376,H27
P376,H45
P582,H36
P583,H36
P485,H34
P650,H37
P651,H37
P98,H14
P98,H21
P600,H7
P601,H32
P419,H30
P279,H7
P214,H19
P47,H11
P47,H15
P333,H33
P333,H43
P332,H42
P548,H43
P549,H43
P505,H43
P334,H42
P183,H32
P424,H37
P425,H42
P230,H36
P460,H48
P461,H49
P447,H24
P447,H46
P113,H25
P556,H52
P557,H53
P309,H40
P95,H19
P193,H13
P193,H30
P479,H38
P478,H40
P558,H52
P559,H53
P125,H23
P125,H27
P396,H26
P396,H38
P416,H38
P417,H38
P269,H39
P303,H22
P303,H36
P302,H37
P228,H36
P167,H11
P167,H15
P166,H15
P343,H21
P343,H40
P560,H52
P561,H53
P624,H40
P625,H15
P393,H25
P570,H52
P571,H53
P474,H15
P574,H52
P575,H53
P502,H37
P288,H37
P244,H36
P647,H51
P646,H53
P566,H52
P586,H52
P587,H52
P569,H53
P311,H40
P130,H15
P538,H50
P539,H51
P361,H45
P585,H45
P584,H29
P493,H39
P623,H50
P622,H32
P488,H45
P536,H50
P537,H51
P510,H39
P511,H39
P320,H39
P270,H26
P270,H38
P470,H37
P471,H37
P413,H33
P413,H42
P238,H36
P520,H16
P521,H16
P157,H8
P157,H19
P611,H45
P610,H19
P506,H19
P432,H32
P498,H32
P499,H32
P429,H38
P428,H32
P389,H42
P468,H48
P469,H49
P455,H46
P408,H43
P328,H42
P56,H9
P56,H10
P39,H4
P39,H13
P497,H46
P496,H25
P414,H38
P273,H39
P522,H28
P523,H28
P588,H50
P589,H52
P543,H51
P638,H45
P639,H15
P599,H45
P525,H48
P524,H45
P384,H32
P385,H32
P255,H32
P514,H31
P515,H38
P596,H31
P597,H19
P276,H38
P277,H39
P290,H19
P291,H19
P562,H52
P563,H53
P398,H42
P331,H43
P490,H37
P491,H37
P591,H25
P590,H37
P612,H36
P613,H19
P148,H19
P517,H49
P516,H7
P186,H16
P534,H50
P535,H51
P357,H45
P362,H27
P362,H44
P616,H7
P617,H7
P602,H45
P324,H37
P437,H25
P436,H31
P626,H37
P627,H37
P250,H6
P250,H16
P422,H45
P423,H43
P619,H35
P618,H50
P541,H51
P435,H7
P434,H19
P368,H19
P138,H28
P139,H29
