parasite_leaf:,host_leaf
P188,H31
P189,H31
P145,H24
P280,H30
P281,H30
P267,H19
P209,H31
P288,H30
P289,H30
P131,H12
P131,H24
P179,H25
P178,H19
P168,H6
P112,H25
P136,H21
P136,H32
P137,H11
P101,H21
P101,H33
P64,H8
P64,H23
P295,H28
P294,H23
P292,H23
P254,H23
P44,H22
P41,H16
P41,H19
P232,H34
P233,H35
P214,H11
P270,H33
P271,H23
P247,H22
P216,H11
P290,H32
P291,H32
P148,H21
P148,H33
P149,H27
P174,H24
P175,H24
P122,H17
P122,H28
P80,H11
P98,H30
P99,H31
P283,H28
P282,H35
P261,H21
P261,H32
P230,H34
P158,H30
P182,H20
P182,H30
P183,H14
P264,H31
P265,H31
P286,H31
P287,H24
P273,H34
P272,H11
P238,H25
P210,H14
P211,H11
P299,H28
P298,H29
P297,H27
P218,H24
P115,H28
P63,H12
P63,H25
P284,H24
P285,H35
P276,H29
P237,H29
P180,H24
P84,H5
P84,H6
P176,H19
P177,H22
P87,H8
P87,H23
P240,H23
P241,H23
P205,H32
P204,H22
P83,H18
P83,H26
P32,H16
P32,H19
P93,H20
P93,H31
P197,H30
P196,H6
P256,H30
P257,H14
P50,H6
P69,H18
P69,H27
P68,H26
P150,H13
P150,H14
P274,H14
P275,H14
P262,H31
P263,H31
P202,H11
P203,H11
P138,H30
P185,H27
P184,H19
P221,H14
P220,H24
P200,H24
P278,H34
P279,H23
P248,H34
P229,H35
P212,H26
P213,H19
P207,H18
P207,H27
P206,H33
P268,H22
P269,H22
P252,H28
P245,H28
P225,H27
P73,H17
P73,H29
P234,H34
P235,H35
P222,H30
P190,H28
P75,H29
P58,H23
P59,H23
P76,H9
P76,H10
P186,H14
P187,H23
P146,H27
P133,H27
P127,H25
P140,H17
P140,H28
P141,H27
P105,H21
P105,H33
P156,H28
P157,H11
P128,H32
P251,H31
P250,H35
P226,H34
P165,H30
P164,H11
P70,H17
P70,H28
P71,H29
P20,H11
P258,H8
P258,H23
P259,H22
P193,H27
P161,H22
P242,H33
P243,H33
P171,H22
P124,H14
P125,H14
P118,H8
P118,H22
