"symbiont","host"
"S15","H44"
"S17","H44"
"S20","H55"
"S21","H19"
"S22","H7"
"S23","H7"
"S33","H18"
"S34","H18"
"S35","H33"
"S36","H35"
"S37","H44"
"S40","H38"
"S41","H34"
"S41","H39"
"S42","H43"
"S43","H63"
"S44","H40"
"S45","H47"
"S45","H48"
"S46","H43"
"S47","H44"
"S48","H41"
"S49","H44"
"S50","H44"
"S51","H42"
"S52","H43"
"S53","H44"
"S60","H51"
"S62","H59"
"S63","H86"
"S64","H59"
"S65","H60"
"S66","H61"
"S67","H62"
"S68","H66"
"S69","H9"
"S69","H77"
"S70","H9"
"S70","H77"
"S70","H78"
"S71","H63"
"S72","H60"
"S72","H64"
"S73","H90"
"S75","H66"
"S77","H68"
"S78","H70"
"S79","H71"
"S80","H72"
"S81","H73"
"S82","H74"
"S83","H75"
"S84","H76"
"S85","H79"
"S86","H80"
"S87","H81"
"S88","H82"
"S89","H83"
"S90","H84"
"S91","H85"
"S92","H86"
"S93","H21"
"S93","H87"
"S94","H88"
