"symbiont","host"
"S7","H47"
"S8","H46"
"S11","H26"
"S12","H35"
"S13","H12"
"S17","H19"
"S21","H21"
"S22","H47"
"S23","H46"
"S25","H51"
"S26","H50"
"S26","H51"
"S27","H22"
"S28","H33"
"S29","H27"
"S30","H48"
"S31","H29"
"S33","H53"
"S34","H52"
"S34","H53"
"S35","H31"
"S36","H36"
"S37","H34"
"S37","H52"
"S38","H35"
"S39","H39"
"S41","H37"
"S43","H36"
"S45","H41"
"S46","H42"
"S47","H43"
"S48","H5"
"S48","H37"
"S49","H5"
"S49","H37"
"S51","H55"
"S52","H54"
"S52","H55"
"S53","H28"
"S53","H45"
"S54","H28"
"S54","H45"
"S55","H48"
"S56","H49"
"S57","H56"
"S58","H57"
"S59","H58"
"S60","H59"
