"symbiont","host"
"S9","H10"
"S10","H23"
"S18","H23"
"S27","H31"
"S30","H34"
"S31","H49"
"S32","H35"
"S33","H37"
"S34","H43"
"S36","H45"
"S37","H46"
"S38","H47"
"S39","H49"
"S41","H48"
"S42","H48"
"S44","H50"
"S45","H53"
"S46","H54"
"S47","H54"
"S48","H77"
"S48","H78"
"S49","H57"
"S50","H59"
"S51","H59"
"S51","H60"
"S52","H58"
"S53","H52"
"S54","H52"
"S58","H46"
"S58","H52"
"S59","H61"
"S60","H62"
"S62","H44"
"S63","H44"
"S64","H68"
"S65","H69"
"S66","H70"
"S67","H71"
"S68","H72"
"S69","H73"
"S71","H75"
"S72","H76"
"S73","H80"
"S74","H81"
"S75","H82"
"S76","H83"
"S77","H83"
"S78","H83"
