"symbiont","host"
"S6","H24"
"S7","H24"
"S12","H121"
"S15","H22"
"S25","H29"
"S26","H96"
"S26","H97"
"S27","H22"
"S29","H30"
"S30","H31"
"S31","H32"
"S34","H35"
"S42","H43"
"S43","H47"
"S45","H58"
"S46","H50"
"S47","H52"
"S49","H56"
"S53","H58"
"S54","H60"
"S56","H98"
"S57","H64"
"S61","H71"
"S62","H68"
"S62","H72"
"S64","H106"
"S65","H115"
"S66","H118"
"S67","H123"
"S68","H74"
"S71","H79"
"S72","H54"
"S72","H80"
"S73","H91"
"S73","H92"
"S76","H82"
"S77","H77"
"S78","H77"
"S79","H83"
"S80","H85"
"S82","H49"
"S84","H89"
"S86","H94"
"S87","H95"
"S90","H84"
"S91","H84"
"S92","H46"
"S93","H46"
"S96","H55"
"S96","H107"
"S97","H108"
"S98","H109"
"S99","H110"
"S100","H111"
"S102","H118"
"S103","H17"
"S104","H17"
"S105","H117"
"S106","H118"
"S107","H76"
"S107","H119"
"S108","H120"
"S109","H121"
"S110","H122"
"S111","H123"
"S112","H124"
"S113","H101"
"S114","H101"
