"symbiont","host"
"S15","H34"
"S17","H24"
"S21","H27"
"S22","H62"
"S24","H25"
"S25","H26"
"S26","H27"
"S27","H47"
"S27","H48"
"S31","H1"
"S31","H22"
"S31","H23"
"S32","H1"
"S32","H22"
"S32","H23"
"S36","H34"
"S38","H37"
"S40","H41"
"S41","H42"
"S42","H43"
"S44","H35"
"S45","H35"
"S46","H45"
"S47","H46"
"S48","H49"
"S49","H52"
"S50","H61"
"S51","H55"
"S52","H56"
"S55","H57"
"S56","H58"
"S57","H59"
"S58","H60"
"S59","H62"
"S60","H56"
"S60","H63"
"S62","H65"
"S63","H66"
"S64","H70"
"S65","H67"
"S66","H30"
"S67","H30"
"S68","H61"
"S69","H61"
"S70","H24"
"S71","H24"
"S72","H68"
"S73","H69"
"S74","H70"
"S75","H71"
