"symbiont","host"
"S3","H28"
"S4","H3"
"S11","H15"
"S13","H21"
"S16","H24"
"S18","H20"
"S18","H28"
"S19","H26"
"S20","H3"
"S21","H3"
"S22","H20"
"S22","H27"
"S27","H24"
"S28","H24"
"S29","H31"
"S30","H32"
"S31","H30"
"S31","H33"
"S32","H35"
"S34","H41"
"S35","H49"
"S36","H40"
"S38","H49"
"S39","H48"
"S40","H46"
"S41","H50"
"S41","H51"
"S42","H47"
"S43","H48"
"S44","H52"
"S45","H53"
"S46","H34"
"S47","H54"
"S48","H55"
"S49","H13"
"S50","H13"
"S51","H49"
"S52","H49"
"S53","H56"
"S53","H57"
"S53","H58"
"S54","H59"
"S55","H34"
"S56","H34"
"S57","H60"
