"symbiont","host"
"S7","H4"
"S10","H11"
"S15","H11"
"S17","H66"
"S18","H52"
"S21","H17"
"S22","H18"
"S23","H22"
"S24","H23"
"S26","H25"
"S28","H26"
"S28","H30"
"S29","H57"
"S29","H58"
"S30","H49"
"S31","H48"
"S32","H31"
"S33","H31"
"S34","H33"
"S35","H34"
"S37","H39"
"S38","H40"
"S39","H43"
"S40","H66"
"S41","H52"
"S42","H50"
"S43","H51"
"S44","H52"
"S45","H53"
"S46","H44"
"S46","H55"
"S47","H56"
"S48","H46"
"S49","H46"
"S50","H38"
"S51","H38"
"S52","H61"
"S54","H64"
"S56","H27"
"S56","H28"
"S56","H47"
"S57","H27"
"S57","H28"
"S57","H47"
"S58","H53"
"S59","H53"
"S60","H66"
"S61","H67"
"S63","H69"
"S64","H70"
"S65","H71"
"S66","H72"
"S67","H73"
