"symbiont","host"
"S10","H11"
"S15","H32"
"S15","H33"
"S16","H37"
"S17","H15"
"S18","H34"
"S19","H16"
"S20","H40"
"S21","H19"
"S22","H21"
"S23","H48"
"S24","H46"
"S25","H13"
"S26","H17"
"S26","H18"
"S27","H17"
"S27","H18"
"S29","H43"
"S30","H26"
"S31","H24"
"S32","H24"
"S33","H43"
"S33","H44"
"S34","H28"
"S35","H29"
"S36","H30"
"S37","H31"
"S38","H34"
"S39","H35"
"S40","H20"
"S40","H36"
"S41","H39"
"S42","H40"
"S43","H45"
"S44","H46"
"S45","H52"
"S46","H22"
"S46","H49"
"S47","H50"
"S48","H51"
"S49","H52"
"S50","H27"
"S51","H27"
