"symbiont","host"
"S6","H3"
"S6","H13"
"S14","H3"
"S24","H13"
"S26","H1"
"S28","H3"
"S29","H3"
"S30","H1"
"S30","H3"
"S31","H3"
"S32","H1"
"S32","H13"
"S35","H1"
"S36","H1"
"S37","H1"
"S38","H13"
"S39","H3"
"S39","H13"
"S40","H1"
"S40","H3"
"S40","H22"
"S40","H23"
"S41","H1"
"S41","H3"
"S41","H21"
"S41","H22"
"S42","H18"
"S43","H22"
"S45","H3"
"S45","H15"
"S46","H3"
"S47","H12"
"S47","H16"
"S47","H17"
"S47","H19"
"S47","H20"
"S48","H3"
"S48","H12"
"S48","H16"
"S48","H17"
"S48","H19"
"S49","H3"
"S50","H1"
"S51","H21"
"S51","H22"
"S51","H23"
"S53","H3"
"S53","H12"
"S53","H16"
"S53","H17"
"S53","H19"
"S53","H20"
"S55","H1"
"S56","H1"
"S57","H3"
"S58","H3"
"S58","H18"
"S59","H3"
"S59","H18"
"S60","H3"
"S61","H7"
"S61","H8"
"S62","H3"
"S62","H7"
"S62","H8"
"S63","H3"
"S64","H3"
"S65","H3"
"S66","H3"
"S67","H1"
"S67","H3"
"S68","H3"
"S69","H1"
"S70","H3"
