"symbiont","host"
"S12","H13"
"S12","H14"
"S14","H6"
"S17","H4"
"S17","H8"
"S17","H12"
"S17","H16"
"S17","H19"
"S17","H20"
"S19","H4"
"S19","H8"
"S19","H9"
"S20","H3"
"S20","H12"
"S21","H4"
"S21","H8"
"S21","H9"
"S22","H10"
"S22","H13"
"S26","H12"
"S26","H22"
"S28","H3"
"S28","H18"
"S28","H23"
"S28","H24"
"S29","H4"
"S29","H9"
"S29","H17"
"S29","H18"
"S31","H4"
"S31","H8"
"S31","H12"
"S32","H3"
"S32","H4"
"S32","H8"
"S32","H12"
"S33","H12"
"S33","H16"
"S34","H12"
"S35","H3"
"S36","H3"
"S37","H3"
"S37","H18"
"S37","H22"
"S37","H23"
"S38","H3"
"S39","H3"
"S40","H3"
"S40","H12"
"S40","H16"
"S40","H19"
"S40","H23"
"S40","H24"
"S42","H4"
"S43","H3"
"S43","H17"
"S43","H22"
"S43","H23"
"S44","H4"
"S45","H4"
"S45","H8"
"S45","H9"
"S46","H3"
"S46","H4"
"S46","H8"
"S46","H9"
"S47","H4"
"S48","H3"
"S48","H17"
"S48","H22"
"S49","H3"
"S49","H18"
"S49","H22"
"S51","H10"
"S51","H11"
"S51","H13"
"S51","H15"
"S52","H4"
"S53","H14"
"S53","H22"
"S53","H23"
"S54","H14"
"S54","H23"
"S55","H3"
"S56","H3"
"S56","H4"
"S58","H4"
"S58","H8"
"S58","H12"
"S58","H17"
"S58","H18"
"S58","H22"
"S58","H24"
"S59","H4"
"S59","H8"
"S59","H12"
"S59","H17"
"S59","H18"
"S59","H22"
"S60","H6"
"S60","H11"
"S60","H18"
"S60","H22"
"S61","H19"
"S61","H21"
"S61","H23"
"S62","H19"
"S62","H21"
"S62","H23"
"S62","H24"
"S63","H13"
"S63","H15"
"S64","H4"
"S64","H13"
"S64","H15"
"S65","H4"
"S66","H3"
"S66","H18"
"S66","H23"
"S66","H24"
"S67","H4"
"S68","H4"
"S69","H4"
"S70","H3"
"S71","H3"
"S72","H10"
"S73","H4"
"S73","H10"
