"symbiont","host"
"S17","H10"
"S17","H27"
"S17","H36"
"S18","H10"
"S18","H36"
"S19","H4"
"S19","H7"
"S19","H22"
"S22","H18"
"S25","H7"
"S26","H4"
"S26","H17"
"S26","H22"
"S30","H33"
"S31","H7"
"S32","H4"
"S32","H12"
"S34","H16"
"S37","H27"
"S40","H4"
"S40","H12"
"S40","H16"
"S40","H17"
"S40","H18"
"S41","H27"
"S41","H36"
"S42","H7"
"S42","H17"
"S43","H7"
"S43","H17"
"S43","H27"
"S43","H36"
"S44","H27"
"S44","H36"
"S47","H4"
"S47","H18"
"S49","H19"
"S49","H27"
"S50","H22"
"S50","H27"
"S51","H36"
"S53","H27"
"S55","H27"
"S56","H36"
"S57","H7"
"S58","H7"
"S60","H36"
"S61","H4"
"S61","H12"
"S62","H4"
"S62","H12"
"S62","H27"
"S62","H36"
"S64","H22"
"S64","H27"
"S65","H18"
"S65","H19"
"S65","H27"
"S65","H34"
"S65","H36"
"S65","H40"
"S66","H18"
"S66","H19"
"S66","H33"
"S66","H36"
"S66","H39"
"S66","H40"
"S66","H41"
"S66","H46"
"S68","H36"
"S69","H22"
"S69","H36"
"S73","H22"
"S74","H27"
"S75","H22"
"S75","H27"
"S75","H36"
"S77","H36"
"S78","H22"
"S79","H27"
"S82","H27"
"S82","H36"
"S83","H7"
"S84","H27"
"S84","H36"
"S85","H4"
"S85","H16"
"S85","H17"
"S85","H22"
"S86","H4"
"S86","H22"
"S91","H12"
"S91","H33"
"S91","H40"
"S94","H4"
"S95","H12"
"S95","H33"
"S95","H39"
"S96","H12"
"S96","H34"
"S96","H39"
"S96","H40"
"S96","H41"
"S96","H45"
"S96","H46"
"S98","H4"
"S99","H27"
"S100","H4"
"S100","H27"
"S101","H27"
"S102","H22"
"S103","H12"
"S103","H16"
"S103","H33"
"S105","H4"
"S106","H4"
"S107","H4"
"S108","H16"
"S108","H37"
"S109","H16"
"S109","H37"
"S110","H36"
"S111","H36"
"S112","H4"
"S113","H4"
"S114","H12"
"S114","H34"
"S114","H40"
"S114","H41"
"S115","H19"
"S116","H4"
"S116","H19"
"S117","H27"
"S118","H27"
"S119","H4"
"S119","H27"
"S120","H19"
"S120","H27"
"S121","H4"
"S122","H4"
"S123","H4"
"S124","H4"
"S125","H4"
"S125","H12"
"S125","H34"
"S125","H40"
"S127","H22"
"S128","H22"
"S130","H12"
"S130","H25"
"S130","H33"
"S130","H43"
"S132","H4"
"S133","H33"
"S133","H44"
"S134","H47"
"S134","H48"
"S135","H19"
"S136","H4"
"S137","H22"
"S138","H7"
"S138","H22"
"S139","H4"
"S140","H4"
"S141","H27"
"S142","H27"
"S143","H4"
"S143","H16"
"S143","H17"
"S143","H22"
"S144","H7"
