"symbiont","host"
"S30","H14"
"S30","H32"
"S30","H34"
"S30","H42"
"S30","H51"
"S30","H65"
"S30","H81"
"S36","H45"
"S36","H50"
"S36","H51"
"S36","H84"
"S38","H12"
"S38","H65"
"S38","H81"
"S46","H17"
"S46","H75"
"S67","H17"
"S67","H42"
"S67","H50"
"S67","H51"
"S67","H62"
"S67","H67"
"S67","H70"
"S67","H74"
"S67","H76"
"S67","H90"
"S69","H91"
"S71","H32"
"S71","H46"
"S71","H56"
"S73","H38"
"S73","H39"
"S73","H42"
"S73","H50"
"S73","H51"
"S74","H32"
"S74","H34"
"S74","H56"
"S77","H36"
"S77","H45"
"S77","H62"
"S77","H63"
"S77","H65"
"S77","H71"
"S77","H81"
"S77","H90"
"S77","H91"
"S77","H104"
"S77","H105"
"S78","H20"
"S78","H50"
"S78","H51"
"S81","H45"
"S81","H91"
"S82","H81"
"S83","H51"
"S86","H84"
"S88","H14"
"S88","H32"
"S88","H34"
"S88","H42"
"S88","H46"
"S88","H51"
"S88","H59"
"S89","H50"
"S90","H50"
"S90","H51"
"S92","H45"
"S92","H81"
"S95","H50"
"S95","H51"
"S96","H90"
"S96","H91"
"S98","H74"
"S107","H51"
"S110","H17"
"S110","H39"
"S110","H42"
"S110","H45"
"S110","H51"
"S110","H63"
"S110","H65"
"S110","H66"
"S110","H67"
"S110","H75"
"S110","H77"
"S113","H50"
"S113","H51"
"S115","H51"
"S116","H29"
"S116","H32"
"S116","H34"
"S116","H74"
"S117","H50"
"S117","H72"
"S118","H50"
"S118","H51"
"S119","H50"
"S119","H51"
"S121","H69"
"S121","H84"
"S121","H106"
"S121","H107"
"S125","H14"
"S125","H42"
"S125","H50"
"S125","H51"
"S125","H57"
"S126","H14"
"S126","H42"
"S126","H51"
"S126","H56"
"S126","H57"
"S130","H11"
"S130","H12"
"S130","H87"
"S130","H95"
"S131","H11"
"S131","H12"
"S131","H50"
"S131","H87"
"S131","H94"
"S132","H27"
"S132","H45"
"S132","H47"
"S132","H51"
"S132","H62"
"S132","H63"
"S132","H76"
"S132","H77"
"S132","H90"
"S132","H91"
"S133","H50"
"S133","H51"
"S134","H14"
"S134","H32"
"S134","H34"
"S134","H42"
"S134","H50"
"S134","H56"
"S134","H59"
"S135","H12"
"S135","H49"
"S138","H27"
"S138","H45"
"S138","H63"
"S138","H65"
"S138","H76"
"S138","H77"
"S138","H81"
"S138","H91"
"S139","H50"
"S139","H51"
"S139","H81"
"S139","H83"
"S139","H90"
"S139","H91"
"S141","H50"
"S141","H51"
"S142","H50"
"S142","H51"
"S142","H68"
"S142","H80"
"S144","H32"
"S144","H46"
"S144","H50"
"S144","H51"
"S145","H45"
"S145","H50"
"S145","H65"
"S145","H81"
"S147","H51"
"S147","H54"
"S147","H65"
"S147","H92"
"S147","H93"
"S149","H17"
"S149","H39"
"S149","H42"
"S149","H45"
"S149","H47"
"S149","H50"
"S149","H51"
"S149","H62"
"S149","H66"
"S149","H67"
"S149","H75"
"S149","H76"
"S149","H77"
"S150","H54"
"S150","H81"
"S151","H14"
"S151","H32"
"S151","H34"
"S151","H42"
"S151","H51"
"S151","H56"
"S151","H57"
"S151","H59"
"S152","H84"
"S154","H47"
"S154","H62"
"S154","H63"
"S155","H68"
"S156","H68"
"S158","H45"
"S158","H81"
"S159","H45"
"S159","H80"
"S159","H81"
"S160","H17"
"S161","H68"
"S162","H12"
"S163","H68"
"S163","H80"
"S166","H68"
"S167","H50"
"S167","H51"
"S168","H50"
"S168","H51"
"S168","H68"
"S173","H68"
"S174","H50"
"S174","H83"
"S176","H45"
"S176","H50"
"S176","H51"
"S176","H81"
"S178","H11"
"S178","H12"
"S178","H45"
"S178","H65"
"S178","H100"
"S178","H101"
"S179","H45"
"S179","H65"
"S179","H81"
"S181","H11"
"S182","H11"
"S182","H17"
"S182","H39"
"S182","H47"
"S182","H50"
"S182","H62"
"S182","H63"
"S182","H66"
"S182","H70"
"S182","H75"
"S182","H76"
"S182","H77"
"S183","H68"
"S183","H80"
"S184","H68"
"S185","H74"
"S186","H17"
"S186","H75"
"S187","H50"
"S187","H51"
"S188","H68"
"S189","H17"
"S189","H29"
"S189","H50"
"S189","H51"
"S189","H74"
"S190","H14"
"S190","H46"
"S190","H50"
"S190","H51"
"S190","H57"
"S191","H11"
"S191","H14"
"S191","H46"
"S191","H50"
"S191","H51"
"S191","H57"
"S194","H11"
"S195","H39"
"S195","H42"
"S195","H45"
"S195","H47"
"S195","H50"
"S195","H63"
"S195","H76"
"S195","H77"
"S195","H84"
"S196","H50"
"S196","H51"
"S196","H65"
"S196","H83"
"S196","H91"
"S197","H12"
"S198","H11"
"S198","H68"
"S201","H12"
"S202","H51"
"S202","H81"
"S202","H92"
"S202","H98"
"S204","H45"
"S204","H65"
"S204","H81"
"S205","H17"
"S205","H29"
"S205","H50"
"S205","H51"
"S205","H75"
"S205","H80"
"S207","H50"
"S207","H51"
"S208","H50"
"S208","H51"
"S208","H62"
"S208","H63"
"S208","H65"
"S208","H71"
"S208","H76"
"S208","H77"
"S209","H11"
"S209","H50"
"S209","H51"
"S209","H62"
"S209","H63"
"S209","H65"
"S209","H71"
"S209","H76"
"S209","H77"
"S210","H12"
"S210","H45"
