"symbiont","host"
"S2","H2"
"S2","H3"
"S2","H4"
"S7","H9"
"S8","H8"
"S8","H9"
"S9","H2"
"S9","H3"
"S10","H2"
"S10","H3"
"S11","H2"
"S11","H4"
"S11","H5"
"S11","H6"
"S11","H14"
"S11","H15"
"S12","H8"
"S13","H9"
"S15","H6"
"S16","H2"
"S17","H8"
"S18","H2"
"S18","H8"
"S18","H9"
"S19","H8"
"S20","H4"
"S20","H5"
"S21","H2"
"S21","H8"
"S22","H2"
"S22","H8"
"S22","H9"
"S23","H2"
"S23","H3"
"S24","H2"
"S25","H2"
"S26","H4"
"S26","H5"
"S28","H2"
"S28","H3"
"S29","H3"
"S30","H4"
"S30","H5"
"S30","H10"
"S30","H14"
"S31","H2"
"S32","H2"
"S33","H2"
"S34","H2"
"S34","H3"
"S35","H2"
"S35","H3"
"S36","H8"
"S36","H9"
"S37","H5"
"S37","H15"
"S38","H3"
"S38","H5"
"S38","H14"
"S38","H15"
"S39","H2"
"S39","H4"
"S39","H5"
"S39","H7"
"S39","H10"
"S39","H11"
"S40","H2"
"S41","H3"
"S41","H8"
"S41","H9"
"S42","H3"
"S42","H8"
"S42","H9"
