"symbiont","host"
"S8","H16"
"S12","H9"
"S22","H16"
"S31","H47"
"S31","H48"
"S33","H32"
"S36","H37"
"S38","H40"
"S39","H36"
"S39","H82"
"S40","H43"
"S42","H22"
"S42","H51"
"S44","H32"
"S45","H42"
"S47","H56"
"S51","H22"
"S51","H50"
"S52","H51"
"S55","H54"
"S56","H58"
"S57","H28"
"S58","H28"
"S59","H55"
"S60","H55"
"S61","H66"
"S63","H36"
"S64","H36"
"S65","H76"
"S66","H68"
"S67","H57"
"S67","H69"
"S68","H70"
"S69","H71"
"S70","H28"
"S71","H28"
"S72","H72"
"S73","H73"
"S74","H74"
"S75","H75"
"S77","H94"
"S77","H95"
"S78","H80"
"S79","H81"
"S80","H82"
"S81","H38"
"S81","H79"
"S81","H83"
"S82","H84"
"S83","H39"
"S83","H85"
"S84","H56"
"S85","H56"
"S86","H86"
"S87","H87"
"S88","H90"
"S89","H91"
"S90","H78"
"S90","H92"
"S91","H93"
"S92","H96"
"S93","H97"
"S94","H76"
"S95","H76"
