"symbiont","host"
"S36","H98"
"S40","H90"
"S41","H42"
"S45","H46"
"S50","H51"
"S51","H52"
"S55","H57"
"S59","H63"
"S61","H116"
"S61","H117"
"S63","H66"
"S64","H71"
"S65","H72"
"S66","H105"
"S67","H98"
"S68","H73"
"S69","H74"
"S70","H71"
"S71","H71"
"S73","H76"
"S74","H118"
"S75","H118"
"S75","H119"
"S77","H78"
"S78","H79"
"S79","H80"
"S80","H46"
"S80","H81"
"S81","H82"
"S83","H47"
"S83","H52"
"S84","H83"
"S87","H121"
"S88","H95"
"S88","H104"
"S89","H85"
"S90","H85"
"S91","H61"
"S92","H61"
"S93","H92"
"S94","H102"
"S96","H96"
"S97","H97"
"S98","H98"
"S99","H99"
"S100","H100"
"S101","H103"
"S102","H104"
"S103","H62"
"S104","H62"
"S105","H107"
"S106","H108"
"S107","H109"
"S108","H110"
"S109","H111"
"S111","H113"
"S112","H114"
"S113","H94"
"S114","H94"
"S115","H115"
"S116","H89"
"S116","H90"
"S117","H89"
"S117","H90"
"S118","H120"
"S119","H121"
"S120","H122"
"S121","H123"
"S122","H124"
"S123","H125"
"S124","H126"
"S125","H127"
