"symbiont","host"
"S27","H27"
"S32","H68"
"S37","H102"
"S38","H55"
"S47","H70"
"S52","H55"
"S52","H57"
"S52","H119"
"S54","H49"
"S56","H53"
"S57","H54"
"S58","H54"
"S59","H57"
"S60","H85"
"S61","H62"
"S63","H75"
"S66","H68"
"S68","H70"
"S72","H76"
"S76","H86"
"S77","H87"
"S78","H88"
"S79","H89"
"S80","H112"
"S80","H114"
"S81","H46"
"S81","H90"
"S82","H91"
"S83","H82"
"S84","H82"
"S85","H95"
"S86","H96"
"S89","H100"
"S93","H103"
"S94","H104"
"S95","H105"
"S96","H85"
"S96","H107"
"S97","H108"
"S98","H109"
"S99","H55"
"S100","H55"
"S102","H57"
"S102","H102"
"S103","H55"
"S103","H110"
"S104","H111"
"S105","H105"
"S106","H105"
"S107","H113"
"S108","H114"
"S109","H48"
"S110","H48"
"S111","H115"
"S112","H116"
"S113","H119"
"S114","H120"
"S115","H106"
"S116","H106"
"S117","H121"
"S118","H122"
"S119","H123"
"S120","H124"
"S121","H125"
"S122","H126"
"S123","H127"
"S124","H98"
"S125","H98"
"S126","H128"
"S127","H129"
"S128","H130"
"S129","H131"
"S130","H132"
"S131","H133"
"S132","H134"
"S133","H135"
