"symbiont","host"
"S11","H15"
"S20","H19"
"S20","H63"
"S22","H36"
"S23","H15"
"S23","H19"
"S35","H32"
"S39","H36"
"S41","H56"
"S43","H38"
"S43","H47"
"S45","H45"
"S46","H38"
"S46","H73"
"S48","H21"
"S49","H21"
"S50","H47"
"S51","H53"
"S52","H58"
"S53","H57"
"S53","H61"
"S54","H62"
"S55","H48"
"S56","H48"
"S58","H66"
"S59","H38"
"S59","H73"
"S60","H67"
"S61","H69"
"S62","H71"
"S63","H73"
"S64","H38"
"S64","H78"
"S65","H70"
"S66","H70"
"S67","H44"
"S70","H75"
"S71","H80"
"S72","H65"
"S72","H83"
"S72","H84"
"S73","H81"
"S74","H82"
"S75","H78"
"S75","H79"
"S76","H78"
"S76","H79"
"S77","H85"
"S78","H86"
"S79","H87"
"S80","H88"
"S81","H89"
"S82","H90"
"S83","H91"
"S84","H91"
"S85","H91"
"S86","H92"
"S87","H93"
"S88","H50"
"S88","H54"
"S89","H50"
"S89","H54"
"S90","H68"
"S91","H68"
"S92","H68"
