"symbiont","host"
"S9","H11"
"S15","H16"
"S42","H45"
"S43","H17"
"S47","H52"
"S48","H54"
"S49","H60"
"S51","H88"
"S53","H52"
"S54","H104"
"S55","H110"
"S55","H111"
"S57","H58"
"S58","H82"
"S59","H114"
"S59","H115"
"S60","H115"
"S62","H29"
"S62","H61"
"S66","H64"
"S67","H65"
"S68","H68"
"S70","H70"
"S71","H95"
"S73","H74"
"S74","H95"
"S75","H29"
"S75","H61"
"S76","H29"
"S76","H61"
"S77","H73"
"S78","H101"
"S79","H3"
"S79","H102"
"S84","H17"
"S85","H88"
"S87","H78"
"S88","H79"
"S89","H80"
"S91","H83"
"S92","H83"
"S93","H55"
"S94","H55"
"S95","H86"
"S96","H87"
"S97","H101"
"S98","H88"
"S99","H3"
"S99","H77"
"S99","H91"
"S100","H34"
"S101","H34"
"S102","H73"
"S103","H73"
"S104","H95"
"S105","H96"
"S106","H101"
"S107","H102"
"S108","H103"
"S109","H97"
"S109","H104"
"S109","H105"
"S110","H46"
"S111","H46"
"S112","H106"
"S114","H72"
"S114","H108"
"S115","H49"
"S115","H109"
"S116","H112"
"S117","H113"
"S118","H55"
"S119","H55"
"S120","H121"
"S121","H118"
"S123","H120"
"S124","H123"
"S125","H124"
"S126","H125"
"S127","H126"
"S128","H127"
"S129","H94"
"S129","H128"
