"symbiont","host"
"S20","H17"
"S34","H40"
"S37","H25"
"S39","H43"
"S41","H44"
"S42","H106"
"S43","H44"
"S45","H41"
"S45","H46"
"S47","H67"
"S50","H52"
"S52","H25"
"S53","H25"
"S54","H54"
"S56","H56"
"S59","H83"
"S59","H84"
"S60","H61"
"S61","H64"
"S62","H66"
"S63","H102"
"S64","H67"
"S65","H69"
"S66","H25"
"S67","H72"
"S70","H74"
"S74","H56"
"S75","H56"
"S76","H76"
"S77","H25"
"S78","H25"
"S79","H78"
"S80","H79"
"S81","H80"
"S82","H81"
"S83","H82"
"S85","H15"
"S87","H8"
"S88","H85"
"S89","H86"
"S90","H90"
"S91","H91"
"S92","H92"
"S93","H95"
"S94","H96"
"S95","H100"
"S96","H62"
"S96","H63"
"S96","H101"
"S97","H102"
"S98","H103"
"S99","H99"
"S99","H106"
"S100","H107"
"S101","H93"
"S102","H93"
