"symbiont","host"
"S31","H310"
"S45","H37"
"S46","H149"
"S46","H163"
"S48","H62"
"S63","H49"
"S69","H52"
"S79","H257"
"S82","H66"
"S83","H166"
"S90","H169"
"S90","H170"
"S91","H170"
"S92","H167"
"S96","H88"
"S98","H84"
"S102","H100"
"S103","H102"
"S106","H65"
"S106","H106"
"S109","H108"
"S112","H52"
"S117","H116"
"S118","H96"
"S119","H96"
"S122","H126"
"S126","H183"
"S129","H111"
"S129","H132"
"S130","H156"
"S133","H208"
"S134","H217"
"S134","H218"
"S137","H214"
"S137","H331"
"S138","H138"
"S139","H99"
"S140","H99"
"S141","H183"
"S144","H310"
"S145","H75"
"S145","H76"
"S146","H75"
"S146","H76"
"S147","H141"
"S150","H145"
"S153","H142"
"S154","H149"
"S155","H150"
"S156","H151"
"S157","H152"
"S159","H126"
"S160","H126"
"S162","H154"
"S163","H157"
"S164","H160"
"S165","H164"
"S166","H167"
"S168","H171"
"S169","H172"
"S170","H173"
"S171","H194"
"S172","H72"
"S173","H72"
"S174","H247"
"S174","H248"
"S175","H174"
"S176","H177"
"S178","H252"
"S179","H43"
"S180","H181"
"S183","H183"
"S186","H185"
"S187","H189"
"S188","H190"
"S189","H191"
"S190","H192"
"S191","H217"
"S191","H218"
"S192","H195"
"S193","H196"
"S194","H198"
"S195","H200"
"S198","H203"
"S199","H206"
"S200","H207"
"S201","H208"
"S201","H217"
"S201","H218"
"S203","H210"
"S204","H211"
"S205","H92"
"S207","H281"
"S208","H212"
"S210","H214"
"S211","H215"
"S212","H216"
"S213","H219"
"S215","H224"
"S217","H226"
"S218","H228"
"S221","H231"
"S222","H232"
"S224","H52"
"S225","H52"
"S226","H199"
"S227","H199"
"S228","H107"
"S229","H275"
"S230","H238"
"S231","H132"
"S232","H132"
"S233","H239"
"S234","H240"
"S235","H242"
"S238","H244"
"S239","H245"
"S241","H251"
"S242","H43"
"S243","H43"
"S245","H254"
"S246","H135"
"S247","H257"
"S249","H107"
"S250","H107"
"S251","H241"
"S251","H261"
"S252","H262"
"S253","H135"
"S254","H135"
"S256","H124"
"S257","H267"
"S258","H205"
"S258","H268"
"S259","H269"
"S260","H270"
"S261","H188"
"S261","H272"
"S262","H188"
"S262","H272"
"S263","H271"
"S264","H276"
"S265","H272"
"S266","H273"
"S267","H274"
"S268","H179"
"S268","H290"
"S269","H277"
"S270","H278"
"S271","H279"
"S272","H302"
"S273","H280"
"S274","H281"
"S275","H282"
"S276","H179"
"S276","H289"
"S277","H220"
"S278","H220"
"S279","H220"
"S280","H286"
"S281","H252"
"S283","H289"
"S284","H179"
"S284","H290"
"S285","H227"
"S286","H227"
"S287","H293"
"S288","H294"
"S289","H295"
"S290","H300"
"S291","H301"
"S292","H302"
"S293","H303"
"S295","H305"
"S296","H243"
"S296","H306"
"S297","H233"
"S297","H307"
"S298","H308"
"S299","H311"
"S300","H312"
"S301","H313"
"S302","H314"
"S303","H315"
"S304","H316"
"S305","H113"
"S305","H123"
"S306","H113"
"S306","H123"
"S307","H317"
"S308","H318"
"S309","H265"
"S309","H319"
"S310","H320"
"S311","H321"
"S312","H322"
"S313","H323"
"S314","H163"
"S315","H163"
"S316","H324"
"S317","H130"
"S317","H325"
"S318","H328"
"S319","H329"
