"symbiont","host"
"S16","H14"
"S18","H16"
"S20","H44"
"S25","H86"
"S32","H57"
"S32","H63"
"S33","H44"
"S37","H71"
"S39","H26"
"S40","H50"
"S42","H47"
"S43","H86"
"S43","H87"
"S51","H49"
"S52","H49"
"S56","H43"
"S57","H55"
"S58","H91"
"S59","H58"
"S60","H59"
"S61","H53"
"S62","H53"
"S64","H36"
"S65","H60"
"S66","H64"
"S68","H66"
"S69","H67"
"S70","H88"
"S70","H89"
"S71","H91"
"S72","H56"
"S72","H57"
"S72","H63"
"S73","H56"
"S73","H57"
"S73","H63"
"S75","H73"
"S78","H74"
"S79","H74"
"S80","H75"
"S81","H78"
"S82","H79"
"S83","H80"
"S84","H81"
"S85","H82"
"S86","H84"
"S87","H84"
"S88","H83"
"S89","H83"
"S90","H26"
"S91","H26"
"S92","H90"
"S93","H91"
