"symbiont","host"
"S18","H99"
"S21","H22"
"S22","H12"
"S22","H26"
"S24","H36"
"S25","H25"
"S28","H26"
"S29","H51"
"S31","H35"
"S32","H41"
"S41","H84"
"S45","H55"
"S46","H56"
"S48","H57"
"S49","H49"
"S52","H60"
"S54","H61"
"S54","H68"
"S57","H63"
"S58","H64"
"S59","H88"
"S59","H89"
"S60","H66"
"S61","H67"
"S63","H27"
"S63","H53"
"S64","H27"
"S64","H53"
"S65","H71"
"S66","H26"
"S67","H12"
"S67","H26"
"S68","H76"
"S69","H77"
"S70","H78"
"S71","H79"
"S72","H80"
"S73","H81"
"S74","H83"
"S75","H93"
"S76","H101"
"S77","H101"
"S77","H111"
"S78","H90"
"S79","H65"
"S79","H91"
"S80","H92"
"S81","H93"
"S82","H94"
"S83","H95"
"S83","H96"
"S84","H97"
"S86","H99"
"S87","H51"
"S88","H51"
"S89","H102"
"S90","H103"
"S91","H104"
"S92","H105"
"S94","H61"
"S94","H108"
"S96","H68"
"S97","H68"
"S98","H109"
"S99","H110"
"S100","H82"
"S101","H12"
"S102","H100"
"S103","H100"
"S104","H106"
"S105","H106"
"S106","H111"
"S107","H101"
"S107","H112"
