"symbiont","host"
"S10","H14"
"S25","H24"
"S26","H60"
"S27","H59"
"S28","H50"
"S29","H35"
"S29","H48"
"S30","H23"
"S31","H26"
"S31","H27"
"S33","H20"
"S34","H24"
"S35","H43"
"S36","H26"
"S37","H25"
"S38","H53"
"S38","H54"
"S39","H30"
"S40","H31"
"S41","H32"
"S41","H55"
"S42","H12"
"S43","H33"
"S44","H44"
"S45","H34"
"S46","H35"
"S47","H36"
"S48","H37"
"S49","H38"
"S50","H39"
"S50","H40"
"S52","H54"
"S53","H42"
"S54","H43"
"S55","H44"
"S56","H45"
"S57","H46"
"S58","H47"
"S59","H55"
"S60","H48"
"S61","H49"
"S62","H50"
"S63","H51"
"S64","H52"
"S65","H55"
"S66","H32"
"S66","H56"
"S67","H59"
"S68","H60"
"S69","H61"
"S70","H62"
