"symbiont","host"
"S26","H28"
"S27","H32"
"S32","H57"
"S33","H32"
"S34","H45"
"S38","H34"
"S42","H39"
"S44","H67"
"S45","H42"
"S46","H43"
"S47","H45"
"S48","H48"
"S49","H50"
"S50","H52"
"S51","H52"
"S52","H52"
"S54","H54"
"S56","H57"
"S58","H37"
"S59","H37"
"S60","H74"
"S62","H62"
"S63","H25"
"S64","H25"
"S65","H49"
"S68","H49"
"S69","H49"
"S70","H64"
"S71","H64"
"S72","H79"
"S73","H64"
"S74","H64"
"S75","H65"
"S76","H66"
"S77","H67"
"S78","H68"
"S79","H71"
"S81","H73"
"S82","H74"
"S83","H75"
"S84","H76"
"S85","H77"
"S86","H78"
"S87","H79"
"S88","H80"
