"symbiont","host"
"S15","H97"
"S15","H98"
"S17","H98"
"S30","H37"
"S35","H29"
"S39","H38"
"S40","H60"
"S43","H42"
"S47","H35"
"S47","H67"
"S51","H50"
"S53","H3"
"S54","H15"
"S57","H85"
"S58","H53"
"S58","H75"
"S58","H107"
"S58","H108"
"S61","H80"
"S63","H60"
"S66","H65"
"S68","H78"
"S69","H35"
"S69","H67"
"S70","H68"
"S72","H71"
"S73","H72"
"S76","H69"
"S76","H88"
"S77","H99"
"S78","H111"
"S80","H86"
"S81","H87"
"S82","H57"
"S83","H57"
"S85","H94"
"S86","H95"
"S88","H99"
"S89","H69"
"S89","H100"
"S90","H15"
"S91","H15"
"S92","H103"
"S93","H104"
"S94","H105"
"S95","H106"
"S96","H53"
"S96","H75"
"S97","H3"
"S98","H3"
"S98","H9"
"S100","H92"
"S101","H113"
"S102","H115"
"S103","H116"
"S104","H117"
"S105","H118"
"S106","H114"
"S106","H119"
"S107","H120"
"S108","H76"
"S108","H121"
"S109","H122"
"S110","H53"
"S110","H75"
"S111","H53"
"S111","H75"
