"symbiont","host"
"S13","H21"
"S24","H16"
"S27","H37"
"S27","H38"
"S28","H37"
"S32","H32"
"S32","H62"
"S35","H12"
"S39","H25"
"S40","H26"
"S41","H27"
"S44","H61"
"S45","H51"
"S45","H52"
"S46","H51"
"S47","H36"
"S48","H39"
"S49","H40"
"S50","H42"
"S51","H43"
"S52","H44"
"S53","H47"
"S53","H54"
"S54","H41"
"S56","H46"
"S57","H35"
"S58","H35"
"S59","H58"
"S60","H50"
"S61","H35"
"S62","H35"
"S63","H12"
"S64","H12"
"S65","H53"
"S66","H47"
"S66","H54"
"S67","H56"
"S68","H57"
"S69","H58"
"S70","H59"
"S71","H66"
"S71","H67"
"S72","H60"
"S73","H61"
"S74","H32"
"S74","H62"
"S75","H63"
"S76","H55"
"S76","H64"
"S77","H65"
"S78","H41"
"S79","H41"
