"symbiont","host"
"S26","H18"
"S27","H92"
"S31","H28"
"S36","H32"
"S37","H83"
"S39","H36"
"S40","H35"
"S41","H35"
"S43","H40"
"S44","H41"
"S45","H42"
"S46","H84"
"S47","H91"
"S49","H43"
"S49","H47"
"S50","H84"
"S52","H51"
"S53","H51"
"S56","H55"
"S57","H56"
"S57","H101"
"S57","H102"
"S58","H42"
"S59","H42"
"S60","H33"
"S61","H33"
"S63","H58"
"S64","H59"
"S65","H63"
"S66","H64"
"S67","H65"
"S68","H62"
"S69","H62"
"S70","H39"
"S71","H39"
"S72","H92"
"S73","H92"
"S74","H75"
"S75","H68"
"S76","H69"
"S77","H72"
"S78","H73"
"S79","H74"
"S81","H34"
"S82","H34"
"S83","H76"
"S84","H77"
"S85","H49"
"S85","H78"
"S86","H79"
"S87","H30"
"S87","H80"
"S88","H81"
"S89","H84"
"S90","H85"
"S91","H86"
"S92","H87"
"S93","H88"
"S94","H89"
"S95","H93"
"S95","H94"
"S96","H90"
"S97","H91"
"S98","H92"
"S99","H97"
"S100","H98"
"S101","H99"
"S102","H100"
"S103","H26"
"S104","H26"
