"symbiont","host"
"S7","H10"
"S14","H7"
"S17","H42"
"S17","H43"
"S18","H21"
"S18","H35"
"S19","H14"
"S19","H27"
"S20","H20"
"S21","H11"
"S21","H42"
"S21","H43"
"S22","H11"
"S22","H42"
"S23","H11"
"S23","H43"
"S24","H11"
"S24","H43"
"S25","H10"
"S26","H10"
"S27","H10"
"S29","H42"
"S30","H22"
"S31","H11"
"S31","H12"
"S34","H23"
"S34","H25"
"S35","H7"
"S37","H26"
"S38","H32"
"S40","H7"
"S42","H38"
"S43","H39"
"S44","H40"
"S45","H7"
"S45","H41"
"S46","H14"
"S46","H36"
"S47","H10"
"S47","H14"
"S47","H36"
"S48","H11"
"S48","H42"
"S48","H43"
"S49","H27"
"S50","H27"
"S51","H10"
"S52","H10"
"S53","H10"
"S54","H10"
