"symbiont","host"
"S2","H3"
"S2","H5"
"S2","H11"
"S2","H12"
"S2","H23"
"S2","H24"
"S4","H5"
"S4","H22"
"S4","H23"
"S4","H24"
"S5","H4"
"S7","H7"
"S9","H9"
"S9","H10"
"S10","H1"
"S11","H1"
"S11","H7"
"S14","H1"
"S14","H2"
"S15","H1"
"S16","H2"
"S16","H5"
"S16","H13"
"S17","H12"
"S17","H14"
"S18","H8"
"S19","H8"
"S20","H2"
"S20","H5"
"S20","H12"
"S20","H13"
"S21","H2"
"S23","H2"
"S23","H8"
"S24","H2"
"S25","H18"
"S26","H19"
"S27","H5"
"S27","H8"
"S28","H16"
"S28","H17"
"S29","H16"
"S29","H17"
"S30","H5"
"S30","H14"
"S31","H5"
"S31","H14"
"S33","H8"
"S34","H1"
"S34","H8"
"S35","H5"
"S35","H13"
"S35","H22"
"S36","H5"
"S36","H13"
"S36","H22"
"S37","H2"
"S37","H8"
"S38","H2"
"S38","H8"
"S39","H11"
"S39","H22"
"S39","H23"
"S40","H11"
"S40","H22"
"S40","H23"
