"symbiont","host"
"S4","H2"
"S6","H6"
"S12","H10"
"S13","H12"
"S13","H23"
"S13","H24"
"S14","H14"
"S15","H14"
"S15","H24"
"S16","H2"
"S16","H14"
"S16","H23"
"S16","H24"
"S17","H9"
"S18","H2"
"S18","H9"
"S19","H2"
"S19","H16"
"S19","H17"
"S19","H18"
"S20","H8"
"S21","H2"
"S23","H20"
"S24","H16"
"S24","H22"
"S25","H6"
"S26","H6"
"S27","H6"
"S28","H2"
"S28","H6"
"S29","H2"
"S29","H6"
"S30","H18"
"S31","H16"
"S31","H21"
"S32","H2"
"S32","H19"
"S33","H20"
"S34","H23"
"S34","H24"
"S35","H23"
"S35","H24"
