"symbiont","host"
"S2","H1"
"S2","H11"
"S2","H12"
"S5","H11"
"S5","H12"
"S5","H21"
"S6","H1"
"S6","H5"
"S7","H21"
"S8","H11"
"S8","H21"
"S10","H1"
"S11","H14"
"S11","H17"
"S12","H1"
"S13","H1"
"S15","H4"
"S16","H1"
"S16","H4"
"S16","H9"
"S16","H11"
"S16","H20"
"S17","H22"
"S19","H1"
"S19","H4"
"S19","H5"
"S19","H11"
"S19","H12"
"S19","H21"
"S21","H4"
"S21","H19"
"S22","H14"
"S24","H11"
"S24","H16"
"S25","H18"
"S26","H4"
"S26","H11"
"S26","H19"
"S27","H9"
"S27","H12"
"S27","H20"
"S27","H21"
"S28","H1"
"S28","H4"
"S28","H5"
"S28","H11"
"S28","H21"
"S29","H12"
"S29","H22"
"S34","H1"
"S34","H17"
"S35","H1"
