"symbiont","host"
"S4","H11"
"S5","H11"
"S6","H11"
"S10","H16"
"S11","H11"
"S16","H16"
"S17","H16"
"S17","H31"
"S18","H27"
"S20","H11"
"S21","H16"
"S21","H31"
"S23","H12"
"S26","H17"
"S27","H5"
"S27","H8"
"S27","H16"
"S27","H31"
"S28","H10"
"S28","H23"
"S28","H24"
"S29","H17"
"S29","H27"
"S29","H29"
"S30","H18"
"S33","H12"
"S34","H8"
"S34","H16"
"S36","H5"
"S37","H21"
"S38","H15"
"S40","H25"
"S41","H26"
"S43","H5"
"S44","H5"
"S45","H5"
"S45","H8"
"S45","H16"
"S45","H31"
"S46","H5"
"S46","H8"
"S46","H16"
"S46","H31"
"S47","H28"
"S48","H29"
"S53","H12"
"S54","H5"
"S54","H12"
