"symbiont","host"
"S4","H11"
"S6","H4"
"S8","H5"
"S8","H31"
"S9","H8"
"S9","H19"
"S9","H22"
"S10","H7"
"S12","H10"
"S13","H2"
"S14","H31"
"S14","H34"
"S14","H36"
"S15","H31"
"S15","H34"
"S15","H35"
"S17","H2"
"S17","H5"
"S17","H30"
"S20","H19"
"S21","H18"
"S22","H18"
"S22","H37"
"S23","H8"
"S23","H14"
"S23","H20"
"S24","H31"
"S25","H11"
"S25","H23"
"S26","H2"
"S26","H5"
"S26","H31"
"S27","H2"
"S27","H5"
"S27","H30"
"S28","H19"
"S28","H22"
"S29","H19"
"S29","H22"
"S30","H26"
"S31","H5"
"S32","H5"
"S32","H30"
"S33","H25"
"S34","H25"
"S35","H30"
"S36","H31"
"S37","H31"
"S38","H2"
"S38","H5"
"S38","H12"
"S38","H31"
"S39","H2"
"S39","H5"
"S39","H12"
"S39","H31"
"S40","H32"
"S41","H24"
"S42","H4"
"S42","H24"
"S43","H33"
"S44","H33"
