parasite_leaf:,host_leaf
P363,H18
P363,H28
P1494,H35
P1495,H35
P905,H35
P1486,H34
P1487,H34
P332,H12
P332,H23
P1661,H38
P1660,H42
P1788,H43
P1789,H43
P1320,H40
P1321,H41
P743,H34
P742,H13
P405,H13
P1665,H22
P1665,H43
P1664,H42
P1411,H43
P597,H26
P597,H33
P1202,H26
P1202,H32
P1203,H33
P1935,H35
P1934,H13
P1270,H10
P1182,H35
P670,H34
P653,H29
P653,H35
P1686,H34
P1687,H23
P351,H18
P351,H28
P1696,H46
P1697,H47
P887,H29
P887,H35
P1704,H46
P1705,H47
P1362,H40
P1363,H41
P1829,H17
P1829,H40
P1828,H38
P383,H4
P383,H7
P381,H11
P381,H15
P1938,H48
P1939,H49
P277,H15
P1502,H33
P1503,H33
P1769,H44
P1768,H43
P1678,H15
P1861,H34
P1860,H15
P1294,H32
P751,H15
P1020,H38
P1021,H39
P803,H5
P803,H10
P802,H10
P1024,H38
P1025,H39
P1878,H19
P1879,H44
P1526,H44
P1527,H45
P311,H21
P311,H24
P310,H9
P310,H13
P729,H34
P728,H13
P1936,H48
P1937,H49
P99,H4
P99,H7
P1940,H48
P1941,H49
P495,H30
P29,H4
P29,H7
P182,H9
P182,H13
P1330,H40
P1331,H41
P618,H10
P1089,H19
P1088,H10
P625,H10
P445,H10
P360,H18
P360,H29
P361,H18
P361,H28
P426,H21
P426,H25
P2004,H48
P2005,H49
P1877,H45
P1253,H37
P1348,H40
P1349,H41
P1716,H46
P1717,H47
P1532,H44
P1533,H45
P271,H20
P271,H26
P1402,H39
P1403,H10
P1036,H38
P1824,H33
P1825,H42
P1775,H30
P1757,H19
P1756,H13
P1072,H13
P540,H28
P541,H28
P1146,H18
P1146,H28
P1910,H36
P1911,H13
P1848,H23
P1849,H23
P1524,H34
P1525,H32
P1002,H15
P764,H34
P757,H15
P786,H18
P786,H28
P787,H13
P655,H29
P655,H35
P656,H29
P656,H34
P657,H29
P657,H35
P591,H26
P591,H33
P1791,H40
P1790,H32
P1908,H43
P1909,H43
P973,H30
P1706,H46
P1707,H47
P526,H18
P526,H28
P1034,H38
P1035,H39
P1857,H41
P1856,H43
P1418,H42
P1892,H35
P1893,H36
P1862,H42
P1413,H43
P1648,H35
P1649,H42
P1210,H35
P739,H5
P739,H10
P648,H34
P1576,H44
P1577,H45
P1280,H13
P1924,H33
P1925,H23
P821,H33
P1851,H34
P1850,H28
P1260,H28
P289,H16
P289,H19
