parasite_leaf:,host_leaf
P46,H8
P46,H20
P154,H30
P154,H32
P155,H33
P145,H31
P97,H16
P220,H9
P221,H2
P137,H28
P95,H14
P95,H22
P190,H4
P190,H7
P294,H42
P295,H43
P218,H9
P265,H33
P264,H17
P132,H15
P132,H16
P290,H42
P291,H43
P183,H28
P182,H2
P256,H38
P257,H39
P237,H37
P298,H39
P299,H28
P250,H38
P231,H37
P57,H1
P57,H2
P19,H5
P19,H10
P127,H1
P127,H2
P126,H17
P72,H16
P279,H40
P278,H17
P245,H33
P268,H32
P269,H24
P149,H30
P149,H33
P280,H31
P281,H7
P37,H15
P37,H17
P224,H24
P225,H28
P171,H17
P99,H19
P99,H24
P186,H19
P186,H25
P187,H28
P165,H29
P286,H42
P287,H43
P107,H20
P107,H27
P262,H28
P263,H28
P172,H17
P296,H34
P297,H35
P209,H34
P227,H7
P226,H35
P135,H2
P128,H14
P128,H22
P248,H38
P249,H39
P229,H37
P80,H24
P81,H24
P65,H25
P284,H42
P285,H43
P68,H5
P68,H10
P88,H20
P88,H26
P114,H27
P115,H24
P261,H29
P260,H2
P176,H7
P292,H42
P293,H43
P120,H10
P120,H28
P121,H29
P119,H10
P119,H29
P53,H2
P240,H37
P241,H37
P254,H38
P255,H39
P168,H25
P167,H2
P84,H14
P84,H23
P272,H40
P273,H41
P192,H32
P282,H33
P283,H37
P147,H31
P252,H38
P253,H39
P233,H37
P276,H40
P277,H41
P222,H17
P216,H17
P199,H17
P123,H17
P194,H34
P195,H35
P116,H28
P117,H29
P246,H32
P247,H29
P205,H27
P258,H38
P259,H39
P239,H37
P200,H32
P153,H33
P143,H31
P266,H24
P267,H24
P188,H24
P189,H24
P270,H40
P271,H41
P87,H27
P110,H7
P111,H25
P242,H33
P243,H33
P210,H2
P207,H27
P92,H2
P162,H30
P162,H32
P163,H25
P151,H30
P151,H33
P274,H40
P275,H41
P214,H31
P62,H16
P124,H15
P124,H17
P212,H19
P212,H25
P213,H25
P180,H17
P288,H42
P289,H43
P83,H17
P100,H6
P100,H9
P101,H9
P185,H32
P184,H2
P179,H28
