parasite_leaf:,host_leaf
P299,H15
P298,H12
P417,H16
P417,H26
P416,H14
P411,H14
P479,H8
P479,H14
P585,H23
P585,H37
P584,H36
P640,H34
P641,H36
P654,H34
P655,H12
P576,H36
P577,H37
P439,H17
P439,H33
P593,H35
P592,H32
P675,H34
P674,H27
P244,H26
P283,H8
P283,H15
P282,H14
P566,H36
P567,H37
P568,H36
P569,H37
P156,H15
P118,H9
P118,H20
P409,H25
P408,H30
P507,H24
P507,H35
P506,H34
P399,H20
P399,H30
P398,H31
P100,H9
P100,H21
P599,H22
P598,H12
P371,H27
P246,H21
P246,H25
P247,H21
P247,H25
P494,H34
P495,H35
P286,H30
P287,H31
P103,H9
P103,H20
P646,H34
P647,H34
P497,H35
P199,H25
P537,H27
P536,H13
P463,H8
P463,H14
P378,H3
P378,H13
P612,H31
P613,H31
P474,H13
P570,H36
P571,H37
P359,H11
P359,H23
P358,H13
P595,H36
P594,H32
P457,H33
P406,H13
P142,H11
P142,H23
P660,H38
P661,H39
P362,H22
P664,H38
P665,H39
P423,H27
P261,H28
P418,H3
P418,H12
P678,H35
P679,H30
P688,H35
P689,H22
P510,H34
P326,H3
P326,H12
P505,H24
P505,H35
P504,H34
P192,H18
P130,H18
P662,H38
P663,H39
P393,H27
P259,H28
P552,H36
P553,H37
P57,H3
P57,H12
P73,H8
P73,H14
P140,H11
P140,H23
P141,H11
P141,H22
P27,H8
P27,H15
P145,H11
P145,H22
P574,H36
P575,H37
P403,H12
P609,H28
P608,H13
P589,H15
P368,H21
P368,H24
P369,H22
P562,H36
P563,H37
P476,H28
P477,H27
P560,H36
P561,H37
P186,H15
P178,H11
P178,H22
P582,H36
P583,H37
P485,H15
P578,H36
P579,H37
P682,H15
P683,H30
P650,H14
P487,H16
P487,H27
P539,H14
P538,H30
P396,H26
P572,H36
P573,H37
P401,H12
P405,H14
P404,H30
P542,H14
P543,H34
P559,H23
P559,H37
P686,H36
P687,H36
P271,H25
P167,H14
P149,H11
P149,H22
P471,H14
P470,H22
P307,H22
P550,H36
P551,H37
P171,H11
P171,H22
P170,H22
P357,H16
P357,H27
P452,H32
P453,H33
P556,H36
P557,H37
P139,H11
P139,H22
P616,H31
P617,H31
P591,H36
P424,H31
P601,H26
P600,H27
P240,H26
P242,H26
P243,H27
P136,H18
P230,H11
P230,H23
P389,H8
P389,H14
P628,H28
P629,H26
P606,H12
P656,H38
P657,H39
P257,H28
P42,H4
P42,H16
P69,H8
P69,H14
P677,H27
P676,H13
P309,H10
P309,H18
P492,H33
P493,H33
P450,H32
P109,H8
P109,H14
P518,H17
P518,H32
P519,H26
P437,H33
P45,H4
P45,H17
P207,H21
P207,H25
P498,H34
P499,H35
P605,H14
P604,H27
P432,H27
P355,H28
P236,H26
P332,H18
P333,H26
P323,H19
P323,H28
P626,H28
P627,H28
P670,H38
P671,H39
P580,H36
P581,H37
P652,H18
P653,H18
P547,H31
P546,H26
P533,H34
P233,H16
P233,H27
P111,H3
P111,H13
P545,H14
P544,H13
P528,H18
P214,H18
P352,H12
P353,H12
P316,H12
P107,H12
P526,H35
P527,H35
P644,H34
P645,H34
P632,H34
P633,H32
P503,H35
P197,H25
P265,H19
P265,H28
P658,H38
P659,H39
P548,H30
P549,H28
P373,H22
P395,H20
P395,H31
P394,H31
P302,H25
P303,H28
P465,H25
P464,H22
P684,H34
P685,H34
P509,H35
P314,H26
P315,H26
P235,H27
P446,H32
P447,H33
P213,H12
P666,H38
P667,H39
P524,H30
P472,H33
P444,H32
P442,H32
P443,H33
P382,H19
P382,H29
P383,H14
P263,H28
P691,H26
P690,H13
P349,H30
P491,H15
P490,H13
P460,H13
P642,H26
P643,H26
P488,H13
P38,H3
P38,H13
P668,H38
P669,H39
P615,H31
P253,H28
P586,H36
P587,H37
P521,H26
P693,H38
P692,H22
P385,H11
P385,H23
P634,H27
P635,H12
P325,H8
P325,H15
P321,H11
P321,H23
P648,H18
P649,H37
P75,H13
P152,H4
P152,H16
P680,H15
P681,H39
P431,H25
P268,H19
P268,H29
P342,H19
P342,H28
P343,H13
P483,H28
P482,H33
P454,H17
P454,H32
P391,H14
P540,H32
P541,H32
P441,H17
P441,H33
P340,H16
P340,H27
P341,H12
P630,H22
P631,H27
P523,H22
P522,H12
P534,H26
P535,H26
P517,H26
P339,H31
P554,H36
P555,H37
P281,H14
P280,H25
P200,H21
P200,H24
P376,H31
P377,H13
P329,H31
P305,H18
P514,H30
P515,H30
P672,H38
P673,H39
P624,H12
P427,H18
P564,H36
P565,H37
P248,H4
P248,H17
P638,H14
P639,H30
P619,H25
P618,H12
P611,H24
P611,H34
P413,H22
P481,H16
P481,H26
P480,H18
P225,H14
P224,H25
P448,H32
P449,H33
P364,H18
P365,H13
P366,H21
P366,H24
P468,H28
P469,H26
P177,H4
P177,H17
P176,H13
P292,H30
P293,H31
P597,H15
P596,H13
P637,H28
P636,H27
P620,H13
P71,H14
