parasite_leaf:,host_leaf
P148,H36
P149,H33
P135,H37
P103,H7
P103,H33
P105,H7
P105,H33
P142,H36
P143,H36
P137,H37
P190,H44
P191,H45
P141,H36
P43,H9
P43,H11
P70,H22
P71,H23
P59,H19
P64,H17
P64,H20
P65,H21
P41,H10
P41,H14
P112,H15
P112,H25
P113,H34
P118,H19
P119,H19
P80,H24
P37,H4
P37,H8
P27,H9
P27,H11
P9,H3
P9,H5
P19,H2
P19,H7
P18,H2
P18,H7
P146,H23
P147,H20
P72,H22
P61,H19
P120,H17
P120,H21
P121,H22
P144,H17
P144,H20
P153,H24
P152,H13
P176,H42
P177,H43
P178,H42
P179,H43
P138,H34
P139,H34
P97,H29
P97,H30
P163,H14
P162,H28
P89,H26
P32,H5
P32,H13
P63,H16
P63,H19
P150,H23
P151,H36
P168,H38
P169,H39
P158,H22
P181,H39
P180,H22
P154,H23
P155,H23
P184,H21
P185,H37
P115,H21
P68,H20
P46,H5
P46,H13
P28,H5
P28,H12
P160,H14
P161,H34
P128,H14
P51,H13
P182,H25
P183,H25
P107,H25
P166,H38
P167,H39
P130,H24
P172,H40
P173,H41
P174,H42
P175,H43
P109,H34
P164,H38
P165,H39
P91,H27
P91,H28
P188,H44
P189,H45
P126,H26
P15,H4
P15,H8
P170,H40
P171,H41
P186,H44
P187,H45
P116,H13
P117,H13
P99,H26
P133,H32
P133,H37
P132,H36
P101,H7
P101,H33
