parasite_leaf:,host_leaf
P18,H8
P18,H15
P122,H14
P123,H14
P23,H10
P23,H13
P97,H8
P97,H14
P96,H35
P240,H34
P241,H34
P135,H33
P135,H40
P218,H58
P219,H59
P198,H40
P199,H29
P221,H41
P221,H59
P220,H58
P133,H33
P133,H40
P216,H58
P217,H59
P41,H21
P50,H9
P50,H21
P51,H8
P51,H14
P42,H9
P42,H20
P104,H13
P105,H13
P28,H10
P28,H13
P155,H37
P155,H42
P154,H43
P146,H37
P146,H42
P153,H9
P153,H21
P152,H36
P85,H14
P115,H22
P115,H36
P114,H36
P150,H37
P150,H42
P151,H43
P125,H31
P250,H60
P251,H61
P157,H23
P157,H28
P236,H28
P237,H51
P67,H29
P252,H60
P253,H61
P144,H18
P244,H53
P245,H53
P202,H52
P197,H34
P200,H26
P200,H52
P201,H53
P148,H42
P149,H43
P111,H22
P111,H36
P190,H50
P191,H51
P181,H49
P185,H43
P184,H38
P205,H46
P205,H55
P204,H54
P167,H47
P117,H34
P27,H10
P27,H13
P193,H48
P193,H51
P192,H50
P183,H49
P140,H16
P140,H25
P112,H14
P172,H14
P173,H40
P64,H8
P64,H14
P212,H56
P213,H57
P161,H44
P55,H25
P164,H30
P165,H36
P69,H31
P92,H32
P92,H34
P243,H25
P242,H35
P224,H58
P225,H59
P226,H58
P227,H59
P238,H58
P239,H58
P223,H59
P129,H40
P254,H35
P255,H61
P247,H35
P94,H34
P143,H22
P143,H36
P142,H33
P142,H41
P131,H33
P131,H40
P45,H9
P45,H21
P231,H25
P230,H54
P211,H55
P195,H12
P195,H18
P208,H54
P209,H55
P169,H47
P235,H58
P234,H53
P232,H54
P207,H55
P171,H47
P228,H35
P229,H35
P90,H34
P77,H20
P77,H33
P47,H9
P47,H21
P177,H27
P177,H38
P176,H44
P214,H56
P215,H57
P57,H25
P188,H50
P189,H51
P179,H49
P119,H38
P72,H17
P72,H30
P71,H31
P248,H60
P249,H61
