parasite_leaf:,host_leaf
P92,H22
P93,H23
P64,H15
P85,H18
P85,H21
P84,H20
P79,H19
P187,H29
P186,H36
P270,H47
P271,H27
P242,H46
P133,H17
P133,H27
P98,H4
P98,H10
P99,H4
P99,H10
P216,H40
P217,H41
P121,H29
P153,H9
P153,H33
P152,H32
P188,H26
P189,H26
P111,H27
P250,H46
P251,H47
P209,H33
P173,H36
P60,H2
P60,H16
P198,H38
P199,H39
P201,H35
P201,H39
P200,H38
P155,H34
P268,H31
P269,H22
P213,H28
P213,H41
P212,H40
P117,H29
P206,H15
P207,H15
P246,H46
P247,H47
P263,H34
P262,H26
P175,H36
P240,H46
P241,H47
P177,H36
P192,H38
P193,H39
P159,H34
P145,H31
P256,H48
P257,H49
P235,H45
P229,H42
P223,H20
P196,H38
P197,H39
P163,H34
P149,H31
P260,H29
P261,H49
P205,H25
P194,H38
P195,H39
P161,H34
P272,H31
P273,H31
P220,H31
P139,H16
P139,H23
P138,H23
P190,H38
P191,H39
P157,H34
P143,H31
P24,H4
P24,H10
P274,H49
P275,H34
P254,H48
P233,H45
P227,H42
P131,H21
P252,H48
P253,H49
P231,H45
P225,H42
P277,H20
P276,H25
P210,H40
P211,H41
P115,H29
P51,H5
P51,H6
P239,H37
P239,H47
P238,H46
P171,H36
P236,H46
P237,H47
P267,H6
P267,H36
P266,H36
P218,H22
P219,H22
P91,H23
P109,H17
P109,H27
P108,H26
P86,H20
P87,H15
P166,H18
P166,H21
P167,H21
P75,H19
P112,H11
P112,H24
P113,H15
P97,H25
P63,H4
P63,H11
P83,H18
P83,H21
P82,H20
P77,H19
P35,H12
P35,H15
P59,H8
P59,H13
P181,H6
P181,H36
P258,H46
P259,H31
P245,H47
P136,H29
P214,H40
P215,H41
P248,H46
P249,H47
P202,H32
P264,H33
P265,H39
P44,H2
P44,H16
P107,H17
P107,H27
P106,H26
P123,H25
P122,H23
P165,H34
P164,H22
P104,H17
P104,H26
P105,H27
