104	10
105	25
105	27
105	42
105	21
105	26
106	17
107	22
107	24
107	23
107	25
107	2
107	1
107	12
107	3
108	22
108	24
108	23
109	12
110	7
110	10
110	22
111	7
112	26
113	25
113	27
113	42
114	26
115	26
116	25
116	27
116	1
116	12
116	26
117	25
117	27
117	1
117	2
117	7
117	3
118	7
118	14
118	10
118	42
118	8
118	24
118	22
118	0
118	23
118	20
118	9
118	0
119	6
119	25
120	4
120	5
121	6
122	9
123	12
124	12
125	16
126	16
127	13
127	2
127	0
127	1
127	8
127	14
127	42
127	21
127	20
127	15
127	17
127	25
127	22
127	12
127	24
127	7
127	27
127	26
127	4
127	10
127	23
127	6
127	9
127	16
127	3
127	5
127	0
128	16
129	21
129	25
129	27
129	20
129	22
129	24
129	23
130	21
130	25
130	27
130	20
130	22
130	24
130	23
131	4
131	6
131	9
131	5
132	3
133	13
133	2
133	0
133	1
133	8
133	14
133	42
133	21
133	20
133	15
133	17
133	10
133	4
133	25
133	6
133	22
133	9
133	7
133	12
133	23
133	5
133	0
134	3
135	13
135	2
135	0
135	1
135	8
135	14
135	42
135	21
135	20
135	15
135	10
135	17
135	22
135	24
135	7
135	23
135	4
135	6
135	26
135	25
135	9
135	0
136	5
137	13
137	2
137	0
137	1
137	8
137	14
137	42
137	21
137	20
137	15
137	17
137	22
137	24
137	4
137	23
137	7
137	16
137	26
137	10
137	3
137	5
138	0
