parasite_leaf:,host_leaf
P24,H4
P24,H6
P25,H9
P25,H13
P96,H11
P96,H15
P175,H25
P175,H30
P659,H13
P659,H58
P1120,H74
P1121,H75
P1360,H71
P1361,H29
P776,H42
P776,H52
P777,H36
P1462,H84
P1463,H85
P1387,H83
P1069,H72
P993,H69
P1182,H52
P1183,H49
P556,H42
P556,H53
P930,H66
P931,H67
P283,H36
P503,H18
P503,H32
P502,H32
P540,H34
P541,H34
P942,H66
P943,H67
P848,H12
P848,H35
P1460,H84
P1461,H85
P1385,H83
P1065,H72
P989,H69
P1512,H74
P1513,H74
P1417,H56
P1173,H74
P1143,H75
P1035,H71
P515,H41
P515,H51
P1579,H77
P1578,H65
P806,H64
P1542,H66
P1543,H72
P1430,H30
P1276,H63
P1316,H78
P1317,H79
P619,H54
P461,H49
P1596,H86
P1597,H87
P1257,H77
P1489,H62
P1488,H57
P652,H56
P654,H39
P654,H56
P655,H57
P496,H25
P496,H30
P497,H25
P497,H30
P468,H27
P170,H30
P1422,H77
P1423,H69
P1606,H86
P1607,H87
P1544,H78
P1604,H86
P1605,H87
P1254,H53
P1254,H76
P1255,H77
P925,H64
P559,H52
P359,H32
P351,H37
P351,H43
P285,H36
P235,H18
P235,H32
P1590,H86
P1591,H87
P1247,H77
P885,H23
P567,H52
P504,H11
P504,H15
P482,H11
P482,H15
P858,H32
P859,H51
P1181,H40
P1181,H64
P1180,H23
P1170,H5
P1170,H23
P259,H19
P259,H27
P688,H42
P688,H52
P1573,H63
P1572,H65
P1179,H60
P1092,H65
P1083,H5
P1083,H23
P820,H64
P1586,H86
P1587,H87
P1243,H77
P1550,H74
P1551,H74
P1131,H75
P1021,H71
P673,H58
P759,H14
P759,H24
P1358,H72
P1359,H65
P1195,H66
P1454,H82
P1454,H84
P1455,H85
P1379,H83
P983,H69
P932,H66
P933,H67
P1535,H34
P1534,H36
P169,H27
P128,H19
P128,H26
P129,H27
P940,H66
P941,H67
P1508,H81
P1509,H51
P1342,H80
P424,H47
P408,H46
P1571,H81
P1570,H75
P1148,H74
P1041,H71
P1212,H24
P1213,H65
P1609,H74
P1608,H24
P839,H34
P838,H46
P399,H47
P295,H9
P295,H13
P1126,H74
P1127,H75
P1017,H71
P667,H58
P1191,H70
P1191,H75
P1190,H75
P1220,H74
P1221,H29
P1015,H71
P1118,H58
P1119,H58
P1510,H15
P1511,H20
P1165,H49
P1486,H45
P1487,H27
P1193,H23
P1103,H45
P1107,H59
P1107,H71
P1106,H45
P1502,H84
P1503,H84
P1475,H85
P1401,H83
P1203,H30
P1067,H72
P991,H69
P864,H61
P753,H61
P724,H44
P724,H60
P1088,H51
P1089,H51
P750,H39
P750,H56
P1281,H65
P1280,H57
P582,H21
P582,H49
P1497,H27
P1496,H78
P1309,H79
P1087,H20
P601,H54
P179,H5
P179,H22
P257,H11
P257,H15
P256,H27
P1549,H58
P1548,H52
P1501,H81
P899,H15
P1484,H52
P1485,H52
P581,H52
P1592,H86
P1593,H87
P1249,H77
P893,H17
P893,H20
P928,H66
P929,H67
P281,H36
P631,H52
P630,H32
P85,H8
P85,H18
P1538,H24
P1539,H84
P1362,H45
P394,H45
P368,H26
P368,H44
P391,H5
P391,H22
P744,H60
P745,H61
P1480,H84
P1481,H84
P1467,H85
P1393,H83
P1075,H72
P1350,H80
P1351,H81
P1078,H36
P794,H26
P794,H45
P1154,H58
P1155,H57
P863,H22
P863,H46
P1476,H84
P1477,H85
P1403,H83
P1222,H56
P964,H49
P545,H36
P484,H27
P221,H23
P1158,H45
P1159,H69
P710,H46
P403,H47
P212,H29
P1049,H68
P1049,H72
P1446,H84
P1447,H85
P1371,H83
P1546,H69
P1547,H29
P511,H51
P804,H64
P805,H65
P1478,H84
P1479,H85
P1409,H62
P1537,H74
P1536,H83
P1071,H72
P995,H69
P917,H58
P1168,H56
P1169,H56
P1157,H62
P1156,H57
P508,H41
P508,H50
P509,H51
P802,H40
P802,H64
P803,H65
P649,H39
P649,H57
P648,H56
P537,H34
P177,H6
P145,H16
P145,H29
P218,H25
P218,H30
P766,H34
P767,H30
P1528,H30
P1529,H69
P200,H23
P1278,H54
P1279,H64
P1290,H78
P1291,H79
P455,H49
P272,H29
P412,H46
P413,H29
P1096,H54
P1097,H54
P1294,H78
P1295,H79
P1354,H80
P1355,H81
P1273,H60
P1345,H35
P1345,H81
P1344,H80
P1348,H80
P1349,H81
P1420,H58
P1421,H24
P881,H13
P881,H58
P680,H47
P1584,H86
P1585,H87
P1241,H77
P565,H52
P1320,H78
P1321,H79
P1274,H65
P808,H64
P1335,H35
P1335,H81
P1334,H80
P1415,H74
P1414,H75
P1132,H74
P1023,H71
P675,H58
P1134,H74
P1135,H75
P1025,H71
P1482,H58
P1483,H58
P914,H25
P914,H30
P915,H30
P1128,H70
P1128,H74
P1562,H75
P1563,H56
P1019,H71
P671,H13
P671,H58
P1541,H47
P1540,H85
P1499,H85
P1450,H84
P1375,H83
P1055,H72
P1440,H69
P1441,H51
P1105,H46
P525,H41
P525,H51
P923,H61
P922,H20
P1338,H80
P1339,H81
P800,H64
P801,H65
P632,H56
P633,H57
P1292,H78
P1293,H79
P617,H54
P459,H49
P478,H16
P478,H29
P479,H12
P479,H34
P740,H60
P741,H61
P1057,H68
P1057,H72
P1452,H84
P1453,H85
P1377,H83
P981,H69
P519,H51
P704,H51
P705,H56
P1448,H84
P1449,H85
P1493,H61
P1492,H83
P1051,H72
P975,H69
P834,H64
P835,H65
P836,H64
P837,H65
P887,H65
P886,H56
P1527,H34
P1526,H57
P277,H17
P277,H20
P1099,H63
P1098,H29
P48,H10
P48,H17
P842,H26
P842,H45
P843,H29
P713,H49
P1425,H80
P1424,H65
P963,H34
P1357,H66
P1356,H64
P1330,H66
P1331,H66
P945,H67
P875,H20
P868,H60
P1436,H44
P1436,H61
P1437,H24
P1610,H61
P1611,H61
P1080,H63
P1081,H65
P782,H62
P1324,H34
P1325,H75
P698,H27
P742,H44
P742,H60
P743,H61
P779,H60
P778,H24
P314,H24
P166,H27
P1206,H61
P1207,H29
P732,H60
P379,H45
P255,H27
P730,H44
P730,H60
P731,H44
P731,H61
P1114,H45
P1115,H36
P1076,H45
P560,H42
P560,H53
P1418,H52
P1419,H52
P1270,H60
P1271,H60
P735,H61
P1162,H67
P1163,H46
P936,H66
P291,H36
P781,H13
P781,H59
P1504,H74
P1505,H74
P1153,H75
P1111,H13
P1111,H58
P1033,H71
P663,H58
P1567,H58
P1566,H15
P1506,H47
P404,H46
P270,H32
P262,H12
P262,H35
P263,H34
P40,H9
P40,H12
P136,H9
P136,H13
P137,H9
P137,H13
P95,H9
P95,H13
P966,H61
P967,H61
P872,H64
P1433,H44
P1433,H60
P1432,H60
P904,H65
P857,H30
P856,H65
P812,H64
P1458,H84
P1459,H85
P1383,H83
P1063,H72
P987,H69
P797,H47
P513,H51
P1196,H36
P1197,H36
P419,H22
P419,H46
P1346,H80
P1347,H81
P910,H57
P901,H30
P642,H56
P151,H16
P151,H29
P464,H38
P464,H40
P465,H46
P1444,H84
P1445,H85
P1369,H83
P1047,H72
P971,H69
P507,H51
P1412,H45
P1413,H45
P1236,H56
P1314,H78
P1315,H79
P635,H57
P1265,H32
P1264,H20
P384,H29
P1427,H67
P1426,H29
P1522,H54
P1523,H54
P1306,H78
P1307,H79
P1045,H15
P1108,H49
P1109,H20
P297,H6
P1160,H44
P1160,H60
P1318,H78
