parasite_leaf:,host_leaf
P116,H10
P116,H12
P1150,H29
P1151,H25
P1082,H28
P896,H13
P714,H6
P715,H7
P1080,H28
P1081,H29
P1420,H33
P1421,H28
P1386,H32
P1297,H25
P1296,H23
P961,H27
P363,H20
P211,H2
P211,H5
P1444,H29
P1445,H6
P1092,H28
P1015,H16
P1090,H28
P1091,H29
P1281,H13
P1280,H31
P1226,H30
P494,H12
P1156,H12
P1157,H26
P384,H12
P138,H11
P138,H14
P976,H20
P977,H23
P1314,H29
P1315,H30
P1050,H28
P1256,H30
P1257,H31
P1146,H20
P942,H24
P557,H25
P386,H9
P386,H19
P1342,H6
P1343,H7
P970,H16
P694,H27
P616,H26
P916,H23
P917,H7
P954,H23
P955,H23
P1228,H30
P1229,H31
P883,H26
P835,H26
P834,H6
P528,H6
P982,H27
P983,H27
P1312,H26
P1313,H26
P1180,H27
P626,H26
P1287,H13
P1286,H26
P1325,H20
P1324,H27
P628,H26
P1044,H28
P1045,H29
P1339,H16
P1338,H24
P545,H25
P321,H20
P283,H9
P283,H19
P1465,H12
P1464,H6
P641,H25
P31,H4
P31,H9
P1118,H5
P1118,H26
P1119,H23
P680,H26
P1302,H27
P1303,H7
P956,H27
P972,H14
P972,H16
P973,H13
P967,H25
P951,H20
P504,H6
P505,H6
P596,H26
P597,H27
P114,H10
P114,H12
P115,H13
P859,H14
P859,H16
P1139,H28
P1138,H20
P1026,H23
P1027,H27
P888,H26
P1263,H28
P1262,H27
P785,H3
P785,H7
P784,H26
P953,H19
P953,H23
P952,H7
P1348,H31
P1349,H6
P1246,H30
P1130,H7
P1108,H20
P1109,H20
P1260,H31
P1261,H6
P1291,H13
P1290,H30
P744,H25
P1436,H16
P1437,H24
P862,H24
P309,H10
P309,H13
P1190,H30
P1191,H31
P433,H23
P249,H7
P382,H14
P382,H16
P865,H24
P864,H6
P1408,H32
P1409,H33
P1175,H27
P1279,H13
P1278,H28
P1085,H29
P1086,H15
P1086,H28
P1087,H29
P754,H6
P1170,H16
P1171,H16
P1113,H19
P1113,H22
P1398,H32
P1399,H33
P801,H23
P800,H7
P145,H3
P145,H6
P53,H7
P666,H13
P667,H7
P1048,H15
P1048,H28
P1049,H29
P1046,H28
P1047,H29
P380,H13
P381,H16
P1058,H28
P1059,H29
P1423,H13
P1422,H30
P1205,H31
P450,H20
P808,H21
P808,H25
P809,H25
P550,H21
P550,H24
P1194,H30
P1195,H31
P449,H23
P407,H7
P393,H20
P506,H10
P506,H13
P1094,H28
P1095,H29
P1029,H23
P1032,H6
P1033,H7
P175,H10
P175,H12
P1356,H27
P1357,H27
P602,H26
P1462,H12
P1463,H12
P712,H13
P988,H5
P988,H26
P1394,H32
P1395,H33
P247,H3
P247,H6
P1116,H26
P1117,H26
P891,H10
P891,H12
P832,H26
P605,H27
P1345,H29
P1344,H25
P562,H24
P339,H20
P592,H23
P593,H23
P1440,H31
P1441,H31
P1188,H30
P612,H26
P613,H27
P204,H6
P601,H5
P601,H27
P935,H25
P934,H26
P173,H7
P1427,H16
P1426,H7
P946,H20
P1304,H20
P1305,H30
P1404,H32
P1405,H33
P1142,H7
P497,H20
P1425,H24
P1424,H20
P549,H21
P549,H25
P548,H24
P825,H16
P824,H23
P1216,H30
P1217,H31
P1186,H30
P1187,H31
P868,H12
P869,H13
P676,H6
P771,H26
P770,H6
P986,H6
P987,H6
P760,H25
P578,H24
P794,H20
P795,H26
P1400,H32
P1401,H33
P1122,H6
P732,H18
P732,H20
P1435,H13
P1434,H23
P1114,H29
P1072,H15
P1072,H28
P1074,H28
P1075,H29
P1446,H12
P1447,H7
P969,H7
P814,H13
P804,H12
P805,H27
P1008,H12
P1009,H12
P121,H10
P121,H13
P1410,H32
P1411,H33
P1412,H32
P1413,H33
P1396,H32
P1397,H33
P861,H6
P1052,H28
P1053,H29
P1242,H30
P1243,H31
P1104,H7
P909,H27
P255,H14
P255,H16
P1282,H25
P1283,H25
P1416,H33
P1417,H7
P1372,H32
P611,H5
P611,H27
P610,H26
P234,H13
P153,H10
P153,H13
P112,H10
P112,H12
P59,H2
P59,H5
P757,H3
P757,H6
P756,H5
P756,H27
P912,H26
P913,H26
P521,H13
