parasite_leaf:,host_leaf
P147,H15
P147,H17
P146,H17
P132,H17
P516,H5
P516,H10
P1364,H20
P1365,H20
P1488,H14
P1488,H20
P1489,H38
P901,H25
P901,H32
P900,H10
P2032,H29
P2033,H17
P1329,H29
P932,H29
P1228,H44
P1229,H45
P675,H6
P675,H31
P531,H19
P531,H22
P202,H15
P202,H16
P491,H21
P491,H24
P1043,H6
P1043,H31
P1042,H25
P1042,H33
P726,H32
P1750,H50
P1751,H51
P1550,H45
P1202,H44
P669,H31
P1991,H35
P1990,H31
P773,H31
P1204,H30
P1204,H44
P1205,H45
P1291,H37
P1290,H42
P1129,H43
P607,H29
P2020,H51
P2021,H42
P1942,H17
P1560,H33
P2048,H33
P2049,H22
P1797,H29
P956,H32
P733,H33
P497,H21
P497,H24
P450,H22
P428,H20
P931,H12
P931,H35
P930,H33
P706,H25
P706,H32
P465,H21
P465,H24
P47,H9
P47,H12
P1208,H44
P1209,H45
P677,H31
P539,H17
P1498,H17
P1499,H24
P225,H15
P225,H17
P420,H19
P420,H22
P421,H23
P436,H15
P436,H17
P437,H17
P2176,H43
P2177,H43
P1288,H43
P2114,H54
P2115,H55
P1868,H42
P1862,H17
P1863,H20
P2015,H37
P2014,H17
P1937,H45
P1948,H38
P1949,H47
P1688,H20
P1478,H46
P1479,H22
P1403,H47
P2068,H29
P2069,H29
P2159,H37
P2158,H34
P1546,H34
P1981,H51
P1980,H35
P1695,H43
P1685,H24
P1684,H34
P1675,H47
P803,H35
P1374,H40
P1374,H46
P1375,H40
P1375,H47
P1419,H41
P1419,H49
P1418,H48
P2078,H54
P2079,H55
P1811,H52
P1450,H48
P1451,H49
P1285,H31
P1052,H22
P192,H9
P192,H12
P157,H9
P157,H12
P728,H25
P728,H32
P1677,H49
P1676,H33
P2064,H47
P2065,H31
P1390,H46
P1096,H22
P959,H22
P770,H24
P1640,H46
P1641,H34
P1381,H47
P1428,H48
P1429,H49
P833,H10
P2076,H54
P2077,H55
P1809,H52
P1022,H27
P1022,H40
P1422,H48
P1423,H49
P1404,H47
P1405,H47
P1378,H46
P1668,H48
P1669,H34
P1425,H49
P565,H4
P565,H26
P308,H10
P76,H13
P76,H14
P1131,H28
P1131,H43
P1130,H42
P1359,H35
P1358,H44
P1255,H45
P1182,H29
P705,H29
P704,H31
P1188,H44
P1189,H45
P380,H9
P380,H12
P1790,H39
P1790,H51
P1791,H51
P1744,H50
P2059,H50
P2058,H44
P1740,H50
P1741,H51
P971,H38
P841,H37
P1213,H30
P1213,H45
P1212,H44
P683,H31
P580,H17
P1753,H39
P1753,H51
P1752,H50
P1994,H43
P1995,H43
P1344,H17
P799,H12
P799,H35
P2106,H54
P2107,H55
P1843,H52
P1955,H26
P1955,H52
P2161,H37
P2160,H34
P1463,H34
P457,H17
P128,H15
P128,H16
P129,H5
P129,H11
P1578,H38
P1579,H46
P1924,H17
P1925,H17
P1906,H51
P1754,H50
P1756,H50
P1757,H51
P1457,H30
P1457,H45
P1456,H17
P1600,H32
P1601,H32
P741,H33
P577,H4
P577,H26
P2056,H10
P2057,H48
P1923,H10
P1340,H24
P1256,H20
P1257,H31
P1902,H22
P1903,H22
P1486,H34
P779,H12
P779,H35
P258,H8
P258,H19
P1681,H42
P1680,H17
P1111,H31
P1065,H17
P1798,H17
P1799,H22
P828,H18
P1871,H51
P1870,H18
P1626,H18
P877,H18
P540,H8
P540,H18
P541,H18
P2043,H32
P2042,H45
P1467,H45
P1200,H44
P1704,H31
P1705,H31
P910,H5
P910,H10
P1576,H10
P1577,H43
P655,H6
P655,H31
P1196,H44
P1197,H45
P343,H2
P343,H4
P1140,H42
P1141,H43
P2179,H42
P2178,H29
P1786,H29
P1471,H37
P444,H18
P1588,H38
P1589,H38
P1716,H50
P1717,H51
P853,H37
P1880,H38
P1881,H38
P1635,H37
P1718,H50
P1719,H51
P1566,H34
P1567,H34
P1460,H37
P398,H19
P398,H22
P1281,H19
P1281,H23
P1280,H23
P763,H23
P222,H2
P222,H4
P1582,H40
P1582,H47
P1583,H31
P1388,H46
P1767,H23
P1766,H18
P1458,H41
P1458,H49
P1459,H34
P1442,H48
P1261,H12
P1261,H35
P1768,H49
P1769,H32
P1446,H48
P2133,H51
P2132,H55
P2124,H54
P1976,H34
P1502,H48
P1449,H49
P2122,H54
P2123,H55
P1967,H33
P1805,H52
P1258,H25
P1258,H33
P1655,H33
P1654,H23
P1072,H38
P1730,H50
P1731,H51
P1346,H24
P1347,H24
P1574,H37
P1575,H31
P1714,H50
P1715,H51
P975,H38
P851,H11
P851,H37
P1438,H48
P1439,H49
P1103,H24
P1397,H40
P1397,H47
P1396,H46
P2036,H22
P2037,H22
P2139,H55
P2138,H22
P1515,H18
P2080,H54
P2081,H55
P1813,H52
P1720,H50
P1721,H51
P981,H38
P859,H37
P844,H11
P844,H36
P845,H37
P1764,H50
P1765,H51
P1699,H20
P969,H38
P839,H11
P839,H37
P1605,H44
P1604,H31
P1892,H24
P1893,H24
P2023,H50
P2022,H35
P889,H29
P1531,H25
P1531,H32
P1530,H34
P584,H10
P298,H9
P298,H12
P2168,H50
P2169,H45
P1761,H51
P1653,H33
P1920,H38
P1921,H24
P1899,H38
P2172,H37
P2173,H34
P1999,H46
P1507,H24
P1506,H18
P84,H2
P84,H4
P781,H12
P781,H35
P780,H34
P169,H5
P169,H11
P1352,H15
P1352,H17
P1353,H17
P108,H15
P108,H16
P71,H13
P71,H14
P152,H13
P152,H14
P1722,H50
P1723,H51
P985,H38
P2004,H37
P2005,H43
P1320,H37
P2082,H54
P2083,H55
P1815,H52
P962,H15
P962,H17
P963,H29
P430,H17
P1316,H34
P1317,H34
P787,H35
P125,H2
P125,H4
P303,H8
P303,H19
P1621,H17
P1620,H33
P720,H32
P2025,H49
P2024,H24
P1965,H47
P1361,H23
P1888,H49
P1889,H42
P1444,H48
P679,H6
P679,H31
P1248,H44
P1249,H45
P1251,H30
P1251,H45
P1250,H44
P2130,H37
P2131,H42
P1330,H44
P1319,H16
P1319,H29
P1773,H51
P1772,H45
P681,H31
P335,H20
P1758,H50
P1759,H51
P1651,H49
P1368,H5
P1368,H10
P155,H5
P155,H10
P1436,H48
P1437,H49
P1891,H5
P1891,H10
P1890,H10
P1392,H46
P1393,H47
P1700,H46
P1701,H17
P1395,H47
P1820,H26
P1820,H53
P1821,H52
P2088,H54
P2089,H55
P1823,H52
P1972,H47
P1973,H47
P1370,H46
P1672,H49
P1673,H32
P1491,H17
P1412,H48
P831,H16
P831,H29
P2016,H29
P2017,H29
P1468,H42
P1469,H33
P1133,H28
P1133,H43
P111,H15
P111,H17
P1079,H25
P1079,H32
P1078,H34
P1780,H35
P1781,H35
P836,H34
P837,H34
P795,H35
P886,H32
P887,H23
P1785,H28
P1785,H43
P1784,H35
P1552,H35
P1186,H33
P1084,H21
P1084,H24
P1085,H33
P363,H20
P1206,H44
P1207,H45
P673,H31
P515,H8
P515,H18
P1667,H43
P1666,H29
P2102,H54
P2103,H55
P1839,H52
P2052,H38
P2053,H38
P1593,H44
P1678,H36
P1678,H39
P1882,H51
P1883,H31
P1855,H52
P1762,H50
P1748,H50
P1749,H51
P1539,H18
P1001,H38
P1082,H11
P1082,H37
P1083,H37
P700,H6
P700,H30
P1493,H43
P1492,H31
P824,H23
P825,H23
P1918,H43
P1919,H45
P1174,H42
P2010,H50
P2011,H47
P1737,H51
P1556,H29
P1557,H29
P2009,H49
P2008,H43
P1594,H35
P1706,H34
P1707,H34
P797,H35
P277,H17
P482,H21
P482,H25
P483,H24
P348,H5
P348,H10
P656,H6
P656,H30
P1940,H37
P1941,H17
P884,H31
P1198,H44
P1199,H45
P1500,H31
P1501,H31
P1047,H33
P1046,H18
P1505,H24
P1504,H45
P1602,H30
P1602,H44
P1603,H32
P2027,H36
P2027,H38
P2026,H31
P1789,H37
P1636,H31
P1535,H29
P1534,H35
P1771,H48
P1770,H34
P1913,H20
P1912,H44
P1953,H48
P1952,H45
P649,H31
P2112,H54
P2113,H55
P1849,H52
P1692,H29
P1272,H22
P1969,H49
P1968,H22
P2156,H43
P2157,H43
P1894,H23
P422,H19
P422,H22
P842,H11
P842,H36
P1926,H37
P1927,H31
P1660,H44
P1509,H45
P1243,H45
P942,H37
P909,H6
P909,H31
P229,H8
P229,H18
P257,H3
P257,H6
P1860,H47
P1861,H47
P1398,H46
P1287,H35
P1416,H48
P1417,H49
P2074,H54
P2075,H55
P2143,H46
P2142,H52
P15,H7
P15,H8
P588,H19
P588,H22
P1648,H22
P1649,H22
P1905,H29
P1904,H17
P966,H19
P966,H22
P1494,H37
P1495,H20
P1885,H23
P1884,H44
P1656,H10
P806,H34
P807,H35
P413,H23
P304,H10
P291,H10
P524,H5
P524,H10
P804,H12
P804,H34
P805,H35
P364,H8
P364,H19
P735,H25
P735,H33
P734,H32
P922,H24
P923,H24
P1348,H10
P1349,H31
P1303,H10
P696,H29
P697,H23
P1137,H28
P1137,H43
P1136,H42
P1409,H24
P1408,H45
P1190,H44
P645,H31
P19,H7
P19,H8
P400,H19
P400,H22
P401,H23
P1795,H35
P1794,H18
P1564,H18
P162,H5
P162,H10
P472,H21
P472,H25
P544,H21
P544,H24
P545,H24
P1464,H20
P1465,H35
P883,H12
P883,H34
P882,H32
P709,H33
P1963,H48
P1962,H42
P1161,H43
P1734,H50
P1735,H51
P1956,H38
P1957,H23
P964,H24
P1555,H10
P1554,H42
P1145,H43
P1598,H29
P1599,H18
P599,H19
P599,H23
P532,H20
P332,H14
P332,H21
P333,H14
P333,H20
P458,H19
P458,H22
P991,H36
P991,H38
